% File initiated 03/05/2023 04:42:29 UTC
% Raw fountain data
%
% File notes: Collional shift map 250 ms MOT RF 250 350 380 410 510 mV RF
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60067.196171
%% clock_data = False
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60067	17034	0.00168976	0.00680812	0.34833951	0.00678017	0.34566513	0.68174546	0.68085718	0.34972756	0.34986207	0.68166961	0.68071651	0.34979173	0.34961539	60067	17032	0
60067	17037	0.00105074	0.00678193	0.34686807	0.00677244	0.34878515	0.68187636	0.68149015	0.34970833	0.35013209	0.68135210	0.68067608	0.34957119	0.34970718	60067	17036	0
60067	17040	0.00068714	0.00679984	0.34616728	0.00679521	0.34725808	0.68201169	0.68114150	0.35002288	0.35004408	0.68179583	0.68088109	0.34969264	0.34973158	60067	17039	0
60067	17044	0.00176213	0.00679145	0.34880401	0.00678105	0.34557903	0.68186576	0.68092933	0.34981170	0.34970537	0.68174998	0.68098282	0.34971811	0.34992346	60067	17042	0
60067	17047	0.00164607	0.00681184	0.34577041	0.00681366	0.34611859	0.68198154	0.68084510	0.34995517	0.34977407	0.68182623	0.68088726	0.34968762	0.34983389	60067	17045	0
60067	17050	0.00055778	0.00677050	0.34467281	0.00680301	0.34793768	0.68167150	0.68081774	0.34974531	0.34979034	0.68217760	0.68088044	0.35008205	0.34976355	60067	17049	0
60067	17053	0.00053710	0.00681166	0.34754291	0.00677315	0.34760496	0.68160084	0.68097354	0.34967291	0.34980677	0.68193223	0.68089071	0.34995813	0.34982082	60067	17052	0
60067	17057	0.00064643	0.00675333	0.34775732	0.00677445	0.34742932	0.68157750	0.68111356	0.34949929	0.34991392	0.68158613	0.68066071	0.34965410	0.34968828	60067	17055	0
60067	17060	0.00088994	0.00680222	0.34663569	0.00681742	0.34590518	0.68171062	0.68080911	0.34982641	0.34970603	0.68152581	0.68070829	0.34965410	0.34965089	60067	17058	0
60067	17063	0.00135357	0.00678583	0.34765109	0.00676717	0.34626018	0.68147848	0.68089235	0.34965401	0.34967209	0.68164825	0.68056399	0.34966511	0.34960381	60067	17062	0
