% File initiated 03/05/2023 04:42:29 UTC
% Raw fountain data
%
% File notes: Collional shift map 250 ms MOT RF 250 350 380 410 510 mV RF
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60067.196171
%% clock_data = False
%% sequence = 9
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60067	17476	0.00051185	0.05088280	0.35010175	0.05083263	0.35094330	0.68045545	0.68029899	0.34943996	0.34950997	0.68058076	0.68083993	0.34969584	0.34968746	60067	17475	0
60067	17479	0.00111237	0.05091125	0.35131419	0.05077892	0.34951263	0.68081314	0.68131323	0.34976799	0.35013340	0.68085168	0.68086688	0.34988360	0.34987678	60067	17478	0
60067	17483	0.00084299	0.05101276	0.34957605	0.05075079	0.35038418	0.68117814	0.68095817	0.34993866	0.34985829	0.68102720	0.68102457	0.35012601	0.35016274	60067	17481	0
60067	17486	0.00022337	0.05076715	0.34736915	0.05083126	0.34922801	0.68112136	0.68136804	0.35009782	0.35034286	0.68114659	0.68109532	0.35007835	0.35009100	60067	17484	0
60067	17489	0.00095743	0.05087333	0.35083800	0.05087723	0.34863583	0.68124692	0.68140938	0.35028846	0.35028526	0.68123838	0.68119187	0.35010867	0.35032026	60067	17488	0
60067	18049	0.00045077	0.05073574	0.34902758	0.05112349	0.35054756	0.68157553	0.68185885	0.35107304	0.35112916	0.68176608	0.68186272	0.35115488	0.35124247	60067	18047	0
60067	18052	0.00112378	0.05105709	0.35092871	0.05093769	0.34890969	0.68158621	0.68172664	0.35097739	0.35103630	0.68176600	0.68173658	0.35102735	0.35113228	60067	18050	0
60067	18055	0.00079777	0.05115846	0.34906405	0.05091052	0.35004209	0.68153009	0.68176871	0.35101436	0.35107879	0.68184513	0.68186099	0.35114732	0.35131092	60067	18054	0
60067	18059	0.00088568	0.05113915	0.34906185	0.05116400	0.34879812	0.68190323	0.68202878	0.35117370	0.35109974	0.68191720	0.68225303	0.35110212	0.35144001	60067	18057	0
60067	18062	0.00038609	0.05052652	0.34845174	0.05102558	0.34995049	0.68202952	0.68187463	0.35125044	0.35122045	0.68213824	0.68225081	0.35134453	0.35139959	60067	18060	0
60067	18622	0.00078710	0.05079842	0.35051343	0.05084918	0.34931042	0.68135539	0.68165720	0.35063514	0.35069020	0.68108003	0.68125834	0.35035379	0.35064344	60067	18621	0
60067	18625	0.00105432	0.05081486	0.34970481	0.05082252	0.34890313	0.68176140	0.68157125	0.35081436	0.35084509	0.68143386	0.68141685	0.35068001	0.35073252	60067	18624	0
60067	18629	0.00103611	0.05087165	0.34979818	0.05096191	0.34985282	0.68147314	0.68156098	0.35072561	0.35073843	0.68157281	0.68171119	0.35070532	0.35087361	60067	18627	0
60067	18632	0.00030830	0.05093766	0.34986737	0.05081976	0.35205080	0.68167315	0.68164003	0.35095298	0.35081600	0.68186198	0.68186600	0.35096136	0.35091962	60067	18630	0
60067	18635	0.00088273	0.05107319	0.35008967	0.05093819	0.34836636	0.68149064	0.68167052	0.35091543	0.35092537	0.68137158	0.68139458	0.35062947	0.35090039	60067	18634	0
60067	19196	0.00000425	0.05142500	0.34699356	0.05097862	0.34962900	0.68088438	0.68090238	0.35020826	0.35009766	0.68094502	0.68098406	0.35001425	0.35015649	60067	19194	0
60067	19199	0.00014684	0.05105497	0.35023085	0.05074596	0.34980308	0.68078931	0.68075332	0.35004334	0.35017884	0.68086121	0.68078002	0.35000382	0.35012962	60067	19198	0
60067	19202	0.00100766	0.05102622	0.35075266	0.05089498	0.34817020	0.68078791	0.68079268	0.34989872	0.34999223	0.68047763	0.68054189	0.34970488	0.34986758	60067	19201	0
60067	19206	0.00069041	0.05116873	0.34910688	0.05112809	0.35005865	0.68048067	0.68054263	0.34967899	0.34984975	0.68033457	0.68048240	0.34943634	0.34981203	60067	19204	0
60067	19209	0.00038557	0.05112390	0.34906718	0.05119618	0.34998169	0.68024961	0.68036046	0.34954555	0.34953224	0.68024689	0.68046046	0.34960085	0.34962106	60067	19207	0
60067	19769	0.00025412	0.05081954	0.34936924	0.05090801	0.34976360	0.68089572	0.68093590	0.35013431	0.35027490	0.68099720	0.68092358	0.35022971	0.35026562	60067	19768	0
60067	19772	0.00090425	0.05092324	0.35137456	0.05084393	0.34942417	0.68097567	0.68108233	0.35032560	0.35033209	0.68105168	0.68110526	0.35027096	0.35040679	60067	19771	0
60067	19776	0.00128262	0.05091256	0.35010081	0.05060626	0.34896570	0.68114076	0.68104248	0.35029504	0.35040145	0.68109984	0.68126804	0.35051312	0.35054007	60067	19774	0
60067	19779	0.00100662	0.05099620	0.34970148	0.05074780	0.35052948	0.68125333	0.68109803	0.35047146	0.35046110	0.68126755	0.68123147	0.35030079	0.35040252	60067	19777	0
60067	19782	0.00066782	0.05083053	0.34876553	0.05093658	0.34978192	0.68133435	0.68131406	0.35059217	0.35053908	0.68136443	0.68126253	0.35045584	0.35063054	60067	19781	0
60067	20343	-0.00016051	0.05079447	0.34865888	0.05097585	0.35114389	0.67963710	0.67963751	0.34920659	0.34925277	0.67987729	0.67975904	0.34919755	0.34931834	60067	20341	0
60067	20346	0.00111717	0.05079279	0.35143507	0.05068715	0.34760203	0.67979964	0.67982026	0.34927397	0.34930750	0.67971557	0.67974014	0.34925105	0.34925425	60067	20344	0
60067	20349	0.00138720	0.05049822	0.34921637	0.05058063	0.34840628	0.67999561	0.68008707	0.34932894	0.34943922	0.67982141	0.67986611	0.34938318	0.34944686	60067	20347	0
60067	20352	0.00170676	0.05071270	0.35013637	0.05049656	0.34917769	0.68006324	0.68014459	0.34940134	0.34946058	0.67969643	0.67981911	0.34933157	0.34940027	60067	20351	0
60067	20356	0.00104709	0.05088165	0.34748700	0.05061262	0.34946599	0.67980826	0.68000958	0.34947431	0.34955319	0.68014467	0.68033556	0.34969551	0.34957308	60067	20354	0
60067	20915	0.00070401	0.05085850	0.34978886	0.05105594	0.35081812	0.68105908	0.68092243	0.35030637	0.35024943	0.68108907	0.68107239	0.35014943	0.35038625	60067	20913	0
60067	20918	0.00054608	0.05092721	0.35115030	0.05098314	0.35162407	0.68103418	0.68100271	0.35029241	0.35051969	0.68098784	0.68097740	0.35037491	0.35029766	60067	20916	0
60067	20921	0.00131971	0.05081706	0.35171887	0.05103528	0.34939797	0.68092990	0.68089646	0.35037072	0.35029068	0.68106261	0.68106721	0.35058855	0.35039274	60067	20919	0
60067	20924	0.00137210	0.05079925	0.34960862	0.05113418	0.34945147	0.68108603	0.68122967	0.35033489	0.35045995	0.68106902	0.68098208	0.35041197	0.35043768	60067	20923	0
60067	20928	0.00026693	0.05087581	0.34832303	0.05080595	0.35163853	0.68106861	0.68123994	0.35066242	0.35046365	0.68120888	0.68119967	0.35047129	0.35054114	60067	20926	0
