% File initiated 03/05/2023 04:42:29 UTC
% Raw fountain data
%
% File notes: Collional shift map 250 ms MOT RF 250 350 380 410 510 mV RF
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60067.196171
%% clock_data = True
%% sequence = 5
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60067	17246	0.00054628	0.05099651	0.47937739	0.05092048	0.48159212	0.68167421	0.68171735	0.35085775	0.35082233	0.68163379	0.68170002	0.35077368	0.35082200	60067	17245	0
60067	17249	0.00234517	0.05088905	0.48444045	0.05114645	0.47904378	0.68160979	0.68195212	0.35075133	0.35095652	0.68166854	0.68151924	0.35097878	0.35064928	60067	17248	0
60067	17253	0.00071680	0.05090830	0.48005564	0.05103512	0.48494077	0.68156123	0.68172795	0.35071510	0.35078174	0.68160149	0.68149607	0.35072701	0.35056875	60067	17251	0
60067	17256	-0.00020051	0.05082192	0.47979173	0.05099200	0.48254363	0.68133090	0.68157544	0.35062791	0.35084287	0.68159977	0.68161653	0.35077977	0.35081099	60067	17254	0
60067	17259	0.00165191	0.05075826	0.48212752	0.05091139	0.47657026	0.68137174	0.68158292	0.35064862	0.35066497	0.68128332	0.68153304	0.35064591	0.35062553	60067	17258	0
60067	17820	0.00125346	0.05107712	0.48016062	0.05086720	0.48135599	0.68095382	0.68097970	0.35001483	0.34979017	0.68086482	0.68104889	0.34990604	0.34989765	60067	17818	0
60067	17823	0.00108342	0.05092922	0.48144914	0.05077016	0.48195924	0.68100575	0.68098397	0.35007654	0.35002272	0.68084420	0.68103788	0.34996347	0.35000620	60067	17822	0
60067	17827	0.00184390	0.05106806	0.48065504	0.05091765	0.47837361	0.68081150	0.68122079	0.34995131	0.34999149	0.68088693	0.68116993	0.35004367	0.35008500	60067	17825	0
60067	17830	0.00040983	0.05081575	0.47936108	0.05063516	0.48366330	0.68088266	0.68106442	0.35006611	0.35011935	0.68097765	0.68112580	0.35007810	0.35021196	60067	17828	0
60067	17833	0.00087965	0.05064497	0.48184404	0.05077314	0.48043456	0.68109458	0.68097756	0.34989724	0.35008599	0.68115308	0.68119507	0.35008829	0.35014392	60067	17831	0
60067	18393	0.00117326	0.05013179	0.48270685	0.05086670	0.48182603	0.68065644	0.68111611	0.35010514	0.35021253	0.68080804	0.68102662	0.35009158	0.35016570	60067	18391	0
60067	18396	0.00116947	0.05090951	0.48060829	0.05082068	0.48061966	0.68099433	0.68108389	0.35014474	0.35013398	0.68079416	0.68098414	0.35007227	0.35009560	60067	18395	0
60067	18399	0.00070037	0.05080824	0.47873285	0.05076896	0.48014013	0.68101939	0.68112753	0.35018238	0.35012165	0.68096121	0.68126278	0.35017441	0.35017901	60067	18398	0
60067	18403	0.00143922	0.05090136	0.48259523	0.05079580	0.48037868	0.68081782	0.68116804	0.35009330	0.35013932	0.68089038	0.68101914	0.35014803	0.35010103	60067	18401	0
60067	18406	0.00056094	0.05098922	0.47957775	0.05046126	0.48221259	0.68090895	0.68116902	0.35013012	0.35019643	0.68083623	0.68082727	0.35013192	0.34996503	60067	18404	0
60067	18967	0.00158645	0.05075640	0.48330160	0.05061200	0.48022508	0.68026571	0.68038601	0.34941802	0.34949608	0.67999323	0.68035709	0.34923593	0.34947710	60067	18965	0
60067	18970	0.00141874	0.05029773	0.47919629	0.05076875	0.47969941	0.68017680	0.68027294	0.34947702	0.34939994	0.68032537	0.68045175	0.34941974	0.34943166	60067	18969	0
60067	18973	0.00171426	0.05066953	0.48034321	0.05085591	0.47945665	0.68029735	0.68048281	0.34946083	0.34951473	0.68046062	0.68041132	0.34949994	0.34945146	60067	18972	0
60067	18977	0.00022729	0.05079132	0.47791685	0.05087304	0.48237776	0.68016103	0.68027779	0.34941144	0.34936017	0.68036621	0.68036793	0.34938137	0.34948712	60067	18975	0
60067	18980	0.00013836	0.05083895	0.48097194	0.05083264	0.48123873	0.68032751	0.68061954	0.34949378	0.34952172	0.68054485	0.68032241	0.34966511	0.34928868	60067	18978	0
60067	19540	0.00152883	0.05101703	0.48259136	0.05089964	0.47841998	0.68074757	0.68094248	0.34994860	0.34997736	0.68073409	0.68092530	0.34998582	0.35001154	60067	19539	0
60067	19543	0.00047905	0.05105329	0.47949783	0.05071103	0.48264716	0.68068709	0.68083220	0.34987300	0.34993422	0.68071741	0.68074831	0.34993603	0.34985008	60067	19542	0
60067	19547	0.00056881	0.05107677	0.48060168	0.05103006	0.48033240	0.68078413	0.68090024	0.34999757	0.34999100	0.68088915	0.68078397	0.34987259	0.34986741	60067	19545	0
60067	19550	0.00080299	0.05104386	0.48324235	0.05102440	0.48253980	0.68051338	0.68071215	0.34975722	0.34980118	0.68073245	0.68059251	0.34973914	0.34975139	60067	19548	0
60067	19553	0.00143185	0.05076864	0.48104940	0.05099832	0.47916282	0.68046465	0.68069350	0.34972887	0.34978319	0.68040647	0.68065940	0.34967850	0.34986635	60067	19552	0
60067	20114	0.00081280	0.05059711	0.48106230	0.05064897	0.48291945	0.68001796	0.67997959	0.34927677	0.34921851	0.67990498	0.68008896	0.34927027	0.34927249	60067	20112	0
60067	20117	0.00105218	0.05069296	0.47981618	0.05052110	0.47909803	0.68022816	0.68012421	0.34931481	0.34923190	0.67979043	0.68008346	0.34921440	0.34921908	60067	20115	0
60067	20120	0.00073632	0.05085939	0.48060301	0.05053508	0.48155060	0.67977671	0.67999274	0.34915260	0.34913609	0.68003103	0.67997055	0.34919320	0.34929115	60067	20119	0
60067	20123	0.00105924	0.05059126	0.48135192	0.05069248	0.48038317	0.67986932	0.68003062	0.34929336	0.34930339	0.67999660	0.68003686	0.34933240	0.34927208	60067	20122	0
60067	20127	-0.00041757	0.05046479	0.47990791	0.05073566	0.48433831	0.67996151	0.67993415	0.34928022	0.34938614	0.68000654	0.67997088	0.34927496	0.34928794	60067	20125	0
60067	20686	0.00085637	0.05079076	0.48309186	0.05099930	0.47927005	0.68111923	0.68098742	0.35058017	0.35038255	0.68092382	0.68118718	0.35046513	0.35042791	60067	20684	0
60067	20689	0.00130922	0.05068422	0.48203144	0.05068611	0.48067291	0.68098742	0.68096039	0.35044418	0.35040399	0.68109121	0.68120995	0.35056226	0.35044122	60067	20688	0
60067	20692	0.00077706	0.05063068	0.47981528	0.05061794	0.48141174	0.68111175	0.68100871	0.35034672	0.35049504	0.68112030	0.68107584	0.35031032	0.35036956	60067	20691	0
