% File initiated 03/05/2023 04:42:29 UTC
% Raw fountain data
%
% File notes: Collional shift map 250 ms MOT RF 250 350 380 410 510 mV RF
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60067.196171
%% clock_data = True
%% sequence = 6
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60067	17263	0.00136706	0.00677223	0.47751844	0.00677099	0.47709687	0.68201769	0.68138251	0.35058264	0.35066431	0.68207768	0.68133706	0.35051205	0.35047836	60067	17261	0
60067	17266	0.00177125	0.00671570	0.47817541	0.00676656	0.47696284	0.68216856	0.68202032	0.35070244	0.35103869	0.68255148	0.68145564	0.35092513	0.35067483	60067	17265	0
60067	17269	0.00082401	0.00677238	0.47436745	0.00674350	0.47720916	0.68217004	0.68137034	0.35078100	0.35075224	0.68206995	0.68127938	0.35069940	0.35055741	60067	17268	0
60067	17273	0.00168956	0.00675836	0.47835842	0.00679855	0.47576178	0.68193141	0.68122178	0.35065347	0.35064714	0.68193536	0.68108899	0.35050482	0.35053432	60067	17271	0
60067	17276	0.00124407	0.00676845	0.47551995	0.00680481	0.47685640	0.68205886	0.68109770	0.35040712	0.35054821	0.68176879	0.68089786	0.35042659	0.35044738	60067	17274	0
60067	17279	-0.00021961	0.00675204	0.47850171	0.00680637	0.48289275	0.68191555	0.68113837	0.35055470	0.35049948	0.68190725	0.68128037	0.35043941	0.35051977	60067	17278	0
60067	17283	0.00033964	0.00679255	0.47765853	0.00672732	0.47598080	0.68185244	0.68095636	0.35050671	0.35043974	0.68223471	0.68125013	0.35074755	0.35059685	60067	17281	0
60067	17286	0.00057711	0.00680163	0.47774804	0.00674070	0.47703562	0.68195319	0.68115834	0.35052413	0.35050318	0.68206149	0.68112868	0.35056102	0.35041065	60067	17284	0
60067	17289	0.00066381	0.00674468	0.47641005	0.00676436	0.47614996	0.68202533	0.68120682	0.35065700	0.35045124	0.68202443	0.68120534	0.35047474	0.35053810	60067	17287	0
60067	17292	0.00159452	0.00678639	0.48043889	0.00678485	0.47764675	0.68215229	0.68136007	0.35052906	0.35052939	0.68204851	0.68106426	0.35055856	0.35039101	60067	17291	0
60067	17296	0.00120787	0.00681233	0.47618547	0.00677462	0.47734542	0.68216659	0.68115678	0.35052774	0.35048682	0.68206691	0.68117354	0.35046045	0.35045387	60067	17294	0
60067	17299	0.00163857	0.00674103	0.47873138	0.00677068	0.47743927	0.68186724	0.68080903	0.35028435	0.35007769	0.68191276	0.68103188	0.35048880	0.35035346	60067	17297	0
