% File initiated 03/05/2023 20:47:18 UTC
% Raw fountain data
%
% File notes: Microwave leakage 250 ms MOT  380 mV RF normal 2440 3110 mV RF with without FSK
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60067.866189
%% clock_data = False
%% sequence = 10
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60067	75382	0.00086730	0.00705725	0.49762524	0.00697785	0.49885378	0.68799263	0.68713517	0.35223815	0.35240561	0.68818573	0.68738744	0.35233519	0.35242648	60067	75381	0
60067	75386	-0.00141076	0.00695528	0.49923025	0.00696821	0.50050596	0.68798622	0.68768884	0.35222861	0.35276232	0.68843323	0.68745358	0.35248976	0.35254095	60067	75384	0
60067	75389	0.00131110	0.00696857	0.50019463	0.00703016	0.49867039	0.68786510	0.68715580	0.35208810	0.35231678	0.68803511	0.68708398	0.35216288	0.35229337	60067	75387	0
60067	75392	0.00027802	0.00698448	0.49885934	0.00702741	0.49943786	0.68804818	0.68726024	0.35227175	0.35241794	0.68824868	0.68744397	0.35236978	0.35249066	60067	75391	0
60067	75395	0.00172250	0.00697297	0.49758523	0.00695607	0.49677632	0.68814161	0.68743584	0.35226452	0.35244924	0.68835813	0.68739278	0.35225228	0.35239715	60067	75394	0
60067	75399	0.00143813	0.00697841	0.49930345	0.00699741	0.49946270	0.68812945	0.68717798	0.35210347	0.35219821	0.68782138	0.68711339	0.35204677	0.35219648	60067	75397	0
60067	75402	-0.00270739	0.00702805	0.49814666	0.00701846	0.50046815	0.68806995	0.68735218	0.35215729	0.35238647	0.68857276	0.68768268	0.35254925	0.35254662	60067	75400	0
60067	75405	0.00140304	0.00700497	0.50138989	0.00704393	0.49908805	0.68857605	0.68773091	0.35236140	0.35261729	0.68821844	0.68735539	0.35229624	0.35237463	60067	75404	0
60067	75409	-0.00369270	0.00704294	0.49706273	0.00708619	0.49991634	0.68819124	0.68754480	0.35234768	0.35244078	0.68820899	0.68735145	0.35221760	0.35235598	60067	75407	0
60067	75412	0.00238878	0.00704113	0.50135918	0.00700892	0.49795355	0.68793199	0.68691807	0.35211965	0.35209903	0.68832066	0.68730518	0.35243413	0.35234004	60067	75410	0
