% File initiated 03/05/2023 20:47:18 UTC
% Raw fountain data
%
% File notes: Microwave leakage 250 ms MOT  380 mV RF normal 2440 3110 mV RF with without FSK
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60067.866189
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60067	74907	0.00167365	0.05247395	0.48151956	0.05247278	0.48086921	0.68853439	0.68871664	0.35384608	0.35392891	0.68855616	0.68858550	0.35375479	0.35381058	60067	74906	0
60067	74910	-0.00010859	0.05268564	0.47859668	0.05266687	0.48394343	0.68853398	0.68916776	0.35399974	0.35423212	0.68853414	0.68855164	0.35377952	0.35385191	60067	74909	0
60067	74914	0.00164376	0.05263758	0.48330991	0.05266429	0.47805283	0.68845994	0.68844498	0.35385594	0.35381280	0.68832888	0.68860399	0.35374205	0.35382767	60067	74912	0
60067	74917	0.00098501	0.05276631	0.48000108	0.05270580	0.48197734	0.68847522	0.68847489	0.35393006	0.35381798	0.68862946	0.68859593	0.35394025	0.35373704	60067	74915	0
60067	74920	0.00089293	0.05271762	0.47999240	0.05228858	0.48026866	0.68850858	0.68873184	0.35392283	0.35397657	0.68861590	0.68879224	0.35387443	0.35391116	60067	74919	0
60067	75481	-0.00000682	0.05280405	0.48030682	0.05277205	0.48300604	0.68798745	0.68804736	0.35274432	0.35288837	0.68797513	0.68788959	0.35270521	0.35267867	60067	75479	0
60067	75484	0.00129241	0.05283518	0.48194138	0.05277978	0.47804368	0.68830340	0.68812969	0.35279165	0.35280628	0.68801588	0.68812690	0.35286454	0.35284638	60067	75483	0
60067	75488	0.00096916	0.05279938	0.48017961	0.05296336	0.48114936	0.68800553	0.68811769	0.35288262	0.35277423	0.68785540	0.68812739	0.35268951	0.35288352	60067	75486	0
60067	75491	0.00026341	0.05295935	0.47934566	0.05295898	0.48146293	0.68805598	0.68813479	0.35293956	0.35277957	0.68795048	0.68802287	0.35276865	0.35286848	60067	75489	0
60067	75494	0.00081421	0.05289390	0.48108664	0.05299717	0.47943424	0.68825878	0.68796576	0.35297038	0.35281261	0.68802205	0.68827908	0.35272181	0.35275624	60067	75492	0
60067	76055	0.00152832	0.05288686	0.48310598	0.05337255	0.48096364	0.68995768	0.69009072	0.35410443	0.35420147	0.68991380	0.68981347	0.35425916	0.35409580	60067	76053	0
60067	76058	0.00140527	0.05286756	0.48106836	0.05301402	0.48143751	0.68977222	0.69007781	0.35410706	0.35409383	0.68962226	0.68945282	0.35414099	0.35389440	60067	76057	0
60067	76061	0.00159216	0.05325888	0.48146154	0.05285675	0.48090088	0.68964699	0.68976293	0.35408988	0.35423689	0.68976121	0.68965143	0.35402513	0.35413902	60067	76060	0
60067	76065	0.00066001	0.05307425	0.47946048	0.05317518	0.48225693	0.68984708	0.68998282	0.35420517	0.35427666	0.68997995	0.69005160	0.35426483	0.35419268	60067	76063	0
60067	76068	0.00186541	0.05317426	0.48348865	0.05286745	0.47987244	0.68970640	0.68975389	0.35416729	0.35416811	0.68979194	0.68987124	0.35423385	0.35427740	60067	76066	0
60067	76628	0.00173949	0.05327622	0.47965442	0.05319476	0.48003219	0.69008579	0.69021060	0.35403795	0.35387550	0.69038892	0.69030814	0.35418306	0.35418594	60067	76626	0
60067	76631	0.00131295	0.05314317	0.48015438	0.05317886	0.48143398	0.69016853	0.69030814	0.35417337	0.35412530	0.69036459	0.69048169	0.35434691	0.35427592	60067	76629	0
60067	76634	0.00008785	0.05289850	0.47806087	0.05310880	0.48173617	0.69031044	0.69044553	0.35406014	0.35424551	0.68979876	0.69025374	0.35386391	0.35410171	60067	76633	0
60067	76638	0.00158706	0.05306739	0.48260961	0.05296306	0.47811197	0.69030116	0.69015645	0.35412480	0.35405808	0.69023156	0.69048645	0.35415932	0.35421651	60067	76636	0
60067	76641	0.00115634	0.05320777	0.47901962	0.05308219	0.48031180	0.69043370	0.69033550	0.35424198	0.35419892	0.69022277	0.69041233	0.35410689	0.35418660	60067	76639	0
60067	77201	0.00159530	0.05314745	0.47997672	0.05318781	0.47865984	0.69160621	0.69157342	0.35510938	0.35495613	0.69136043	0.69140160	0.35488103	0.35477552	60067	77199	0
60067	77204	0.00036174	0.05290395	0.47829285	0.05290102	0.48199352	0.69129305	0.69150702	0.35481003	0.35486862	0.69132222	0.69159166	0.35467618	0.35491258	60067	77203	0
60067	77207	0.00046123	0.05310182	0.47988431	0.05291764	0.47958584	0.69129453	0.69140595	0.35484208	0.35476057	0.69117218	0.69124835	0.35474027	0.35471874	60067	77206	0
60067	77211	0.00119557	0.05296939	0.48006563	0.05293142	0.47786261	0.69070215	0.69077915	0.35452013	0.35454043	0.69100052	0.69125525	0.35458513	0.35468045	60067	77209	0
60067	77214	0.00120927	0.05282303	0.48158419	0.05304166	0.48154308	0.69119855	0.69101654	0.35479113	0.35466237	0.69088860	0.69112904	0.35461373	0.35453057	60067	77212	0
60067	77774	0.00082240	0.05305767	0.48157782	0.05289593	0.48273844	0.69145213	0.69157818	0.35490478	0.35487626	0.69152699	0.69159183	0.35502384	0.35504291	60067	77772	0
60067	77777	0.00069041	0.05280252	0.48092708	0.05303926	0.48132305	0.69172453	0.69165419	0.35499015	0.35499303	0.69181467	0.69187630	0.35508712	0.35506312	60067	77776	0
60067	77780	0.00116828	0.05293540	0.48143415	0.05282699	0.48000054	0.69170933	0.69169668	0.35504628	0.35524998	0.69184894	0.69188756	0.35524505	0.35520166	60067	77779	0
60067	77784	0.00091252	0.05277914	0.48053420	0.05296336	0.48130147	0.69167120	0.69187351	0.35515803	0.35517225	0.69198230	0.69193719	0.35530052	0.35524119	60067	77782	0
60067	77787	0.00136196	0.05275447	0.48235708	0.05248884	0.48100878	0.69167285	0.69168797	0.35511169	0.35510224	0.69158139	0.69177326	0.35522442	0.35515861	60067	77785	0
60067	78348	0.00000327	0.05319700	0.47850943	0.05295868	0.48258549	0.69169832	0.69201082	0.35471973	0.35471644	0.69161303	0.69175132	0.35475564	0.35478727	60067	78346	0
