% File initiated 05/05/2023 14:49:18 UTC
% Raw fountain data
%
% File notes: Microwave leakage 250 ms MOT  380 mV RF normal 2440 3110 mV RF with without FSK
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60069.617571
%% clock_data = False
%% sequence = 5
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60069	53655	0.00151231	0.05216635	0.49452153	0.05253333	0.49650836	0.69734383	0.69712912	0.35642544	0.35636825	0.69676871	0.69685310	0.35612864	0.35622938	60069	53653	0
60069	53658	0.00168163	0.05260365	0.49581668	0.05276190	0.49561350	0.69678613	0.69730850	0.35617096	0.35659743	0.69676502	0.69690241	0.35606685	0.35629315	60069	53657	0
60069	53662	0.00374900	0.05286531	0.49737197	0.05268809	0.49489113	0.69695286	0.69700003	0.35617342	0.35615444	0.69697825	0.69678671	0.35608558	0.35616332	60069	53660	0
60069	53665	0.00101845	0.05285889	0.49428930	0.05259805	0.49756596	0.69693519	0.69705607	0.35615083	0.35631903	0.69741483	0.69721589	0.35635749	0.35654591	60069	53663	0
60069	53668	0.00190701	0.05265383	0.49573156	0.05272920	0.49466528	0.69730842	0.69734580	0.35642372	0.35664796	0.69715155	0.69696913	0.35612527	0.35639085	60069	53666	0
60069	54227	0.00308633	0.05207810	0.49702148	0.05261888	0.49560629	0.69696551	0.69674069	0.35577999	0.35571047	0.69675910	0.69679172	0.35558335	0.35573307	60069	54225	0
60069	54230	0.00144452	0.05277390	0.49563221	0.05242246	0.49760239	0.69699017	0.69692295	0.35553232	0.35578229	0.69695072	0.69690865	0.35565985	0.35563947	60069	54229	0
60069	54234	0.00225314	0.05274860	0.49668596	0.05262858	0.49571561	0.69714892	0.69700504	0.35563586	0.35575624	0.69717061	0.69719798	0.35561507	0.35575895	60069	54232	0
60069	54237	0.00225487	0.05229501	0.49608413	0.05262637	0.49608205	0.69718228	0.69700036	0.35579864	0.35579354	0.69722559	0.69711860	0.35580382	0.35591401	60069	54235	0
60069	54240	0.00181987	0.05250400	0.49490364	0.05234722	0.49542564	0.69706338	0.69677940	0.35570521	0.35576396	0.69697373	0.69699592	0.35564999	0.35575879	60069	54238	0
60069	54799	0.00405818	0.05261587	0.49710864	0.05250162	0.49442267	0.69805116	0.69808765	0.35703499	0.35707476	0.69806193	0.69782823	0.35703828	0.35701264	60069	54797	0
60069	54802	0.00236684	0.05270319	0.49587978	0.05261880	0.49790939	0.69787951	0.69807656	0.35681403	0.35698742	0.69788025	0.69781303	0.35684550	0.35695726	60069	54801	0
60069	54806	0.00179054	0.05258330	0.49528394	0.05266905	0.49597549	0.69788542	0.69780712	0.35686736	0.35710443	0.69827073	0.69827829	0.35695512	0.35717592	60069	54804	0
60069	54809	0.00298067	0.05271686	0.49704170	0.05273994	0.49561354	0.69800449	0.69789652	0.35696638	0.35704116	0.69812126	0.69799159	0.35705981	0.35710361	60069	54807	0
60069	54812	0.00259301	0.05270083	0.49593510	0.05269840	0.49640030	0.69800835	0.69829636	0.35679250	0.35715570	0.69795157	0.69799036	0.35681329	0.35704600	60069	54810	0
60069	55371	0.00268853	0.05257456	0.49680994	0.05230162	0.49669532	0.69756685	0.69752962	0.35619553	0.35634105	0.69817171	0.69806357	0.35649373	0.35659546	60069	55369	0
60069	55374	0.00189255	0.05266414	0.49546643	0.05255104	0.49642160	0.69800219	0.69796834	0.35642347	0.35654435	0.69823671	0.69825914	0.35670664	0.35668207	60069	55373	0
60069	55378	0.00234111	0.05246238	0.49672502	0.05258054	0.49618675	0.69797516	0.69805379	0.35647623	0.35674361	0.69785379	0.69809628	0.35649225	0.35659940	60069	55376	0
60069	55381	0.00172014	0.05262614	0.49657317	0.05258973	0.49731833	0.69754293	0.69767991	0.35637918	0.35658527	0.69801731	0.69810548	0.35660482	0.35672143	60069	55379	0
60069	55384	0.00100286	0.05250809	0.49626202	0.05277463	0.49712275	0.69795174	0.69807450	0.35660934	0.35674591	0.69831173	0.69824476	0.35676744	0.35697509	60069	55382	0
60069	55943	0.00283227	0.05297452	0.49815954	0.05262747	0.49596425	0.69852751	0.69852883	0.35676974	0.35686555	0.69874395	0.69867016	0.35699539	0.35691461	60069	55941	0
60069	55946	0.00133890	0.05267901	0.49491695	0.05276788	0.49670901	0.69894363	0.69868405	0.35708380	0.35692036	0.69858314	0.69880977	0.35677287	0.35703129	60069	55945	0
60069	55950	0.00227054	0.05286325	0.49622471	0.05279230	0.49510673	0.69873056	0.69866556	0.35678519	0.35683597	0.69875242	0.69862916	0.35678609	0.35686802	60069	55948	0
60069	55953	0.00205390	0.05277065	0.49550273	0.05294200	0.49576271	0.69868405	0.69858109	0.35680787	0.35695372	0.69837944	0.69854633	0.35669341	0.35686366	60069	55951	0
60069	55956	0.00105655	0.05259288	0.49665434	0.05297639	0.49785116	0.69845167	0.69858290	0.35683096	0.35682858	0.69857410	0.69869210	0.35673260	0.35686104	60069	55955	0
