% File initiated 05/05/2023 14:49:18 UTC
% Raw fountain data
%
% File notes: Microwave leakage 250 ms MOT  380 mV RF normal 2440 3110 mV RF with without FSK
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60069.617571
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60069	53443	0.00078972	0.00704033	0.47410394	0.00698110	0.47914166	0.69805955	0.69744589	0.35622848	0.35641509	0.69833079	0.69720472	0.35628173	0.35612305	60069	53441	0
60069	53446	0.00086972	0.00697107	0.47821416	0.00696891	0.47797418	0.69812643	0.69775666	0.35620391	0.35651189	0.69799480	0.69725196	0.35617367	0.35619290	60069	53444	0
60069	53449	0.00107804	0.00700448	0.47942011	0.00702581	0.47879513	0.69822545	0.69741935	0.35629586	0.35633867	0.69823030	0.69754910	0.35618863	0.35627532	60069	53448	0
60069	53453	0.00132148	0.00699214	0.47669095	0.00699227	0.47596066	0.69834748	0.69737695	0.35656086	0.35646119	0.69841206	0.69746043	0.35647310	0.35640301	60069	53451	0
60069	53456	0.00061429	0.00695911	0.47598025	0.00703122	0.47810182	0.69862439	0.69757243	0.35666391	0.35650942	0.69843392	0.69756668	0.35661658	0.35654024	60069	53454	0
60069	53459	0.00217228	0.00704921	0.47873333	0.00698217	0.47405937	0.69861182	0.69775740	0.35652454	0.35661189	0.69870237	0.69810622	0.35663276	0.35689152	60069	53457	0
60069	53462	0.00200438	0.00700824	0.47703153	0.00698914	0.47753521	0.69862480	0.69765247	0.35658551	0.35666415	0.69859654	0.69756134	0.35672964	0.35660655	60069	53461	0
60069	53466	0.00068553	0.00703155	0.47646634	0.00697249	0.48042290	0.69865660	0.69770925	0.35672619	0.35664994	0.69849202	0.69781147	0.35659915	0.35659981	60069	53464	0
60069	53469	0.00034141	0.00699947	0.47622909	0.00700755	0.47726144	0.69855159	0.69776258	0.35668223	0.35678848	0.69878972	0.69766907	0.35677977	0.35667968	60069	53467	0
60069	53472	0.00033198	0.00703158	0.47673077	0.00701716	0.47675905	0.69864592	0.69792725	0.35679817	0.35672291	0.69892333	0.69799044	0.35687599	0.35684477	60069	53471	0
60069	53475	0.00069992	0.00702569	0.47817372	0.00697991	0.47706992	0.69868060	0.69800876	0.35695948	0.35676572	0.69876819	0.69791402	0.35690598	0.35685775	60069	53474	0
60069	53479	0.00171521	0.00704929	0.47877483	0.00702201	0.47572895	0.69890287	0.69789644	0.35693893	0.35683630	0.69863623	0.69779758	0.35679234	0.35683088	60069	53477	0
60069	53482	0.00101407	0.00703452	0.47628026	0.00695708	0.47838367	0.69865710	0.69770506	0.35673252	0.35671765	0.69871043	0.69795782	0.35695816	0.35693170	60069	53480	0
60069	53485	0.00104507	0.00700251	0.47791419	0.00697915	0.47782119	0.69889351	0.69803144	0.35687952	0.35701313	0.69944060	0.69806119	0.35719465	0.35684238	60069	53484	0
60069	53489	0.00144032	0.00702360	0.47883642	0.00696142	0.47765067	0.69906376	0.69807984	0.35693770	0.35704198	0.69898669	0.69817196	0.35711092	0.35697049	60069	53487	0
60069	53492	0.00168147	0.00701222	0.47742001	0.00699608	0.47669656	0.69854814	0.69775674	0.35682989	0.35692661	0.69914972	0.69811863	0.35697501	0.35701141	60069	53490	0
60069	53495	0.00230103	0.00706242	0.47674535	0.00701331	0.47488666	0.69885045	0.69798189	0.35689160	0.35685216	0.69869498	0.69779085	0.35679497	0.35688684	60069	53493	0
60069	53498	0.00168874	0.00701528	0.47682897	0.00702360	0.47866584	0.69874461	0.69794812	0.35696465	0.35689678	0.69885078	0.69791501	0.35705282	0.35694148	60069	53497	0
