% File initiated 08/05/2023 11:43:24 UTC
% Raw fountain data
%
% File notes: 1300 ms sequence 370 mV RF
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60072.488473
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60072	42217	0.00068304	0.04829971	0.47713156	0.04842409	0.48306112	0.70444493	0.70474806	0.36396830	0.36400421	0.70467115	0.70482152	0.36407709	0.36397496	60072	42216	0
60072	42220	0.00103586	0.04823868	0.48022980	0.04830428	0.47917133	0.70460591	0.70473680	0.36405351	0.36401826	0.70472670	0.70499359	0.36411448	0.36419649	60072	42219	0
60072	42223	0.00099802	0.04834887	0.48096202	0.04842977	0.48107554	0.70480657	0.70477041	0.36411900	0.36407455	0.70475184	0.70506985	0.36406740	0.36424966	60072	42221	0
60072	42225	0.00228237	0.04831701	0.48099542	0.04845636	0.47714237	0.70478438	0.70511767	0.36417578	0.36422090	0.70470468	0.70478036	0.36403494	0.36406313	60072	42224	0
60072	42228	0.00224179	0.04844855	0.47978759	0.04841791	0.47990932	0.70453409	0.70473968	0.36409550	0.36400881	0.70467600	0.70477469	0.36390873	0.36429953	60072	42227	0
60072	42311	0.00236905	0.04848089	0.47970413	0.04840079	0.47932237	0.70428157	0.70452291	0.36379533	0.36381562	0.70441880	0.70458224	0.36393896	0.36386427	60072	42310	0
60072	42314	0.00154963	0.04779309	0.48014417	0.04799961	0.48260242	0.70451042	0.70450114	0.36378210	0.36390043	0.70438306	0.70449128	0.36380346	0.36386353	60072	42313	0
60072	42317	0.00185979	0.04823782	0.48072015	0.04846361	0.47978967	0.70458043	0.70453146	0.36382738	0.36381258	0.70454346	0.70454378	0.36376903	0.36372335	60072	42315	0
60072	42319	0.00211139	0.04850973	0.48001941	0.04838063	0.47926460	0.70441223	0.70448856	0.36361792	0.36372877	0.70439316	0.70458766	0.36371488	0.36357922	60072	42318	0
60072	42322	0.00187885	0.04843752	0.47951855	0.04850113	0.48021619	0.70439357	0.70438380	0.36375638	0.36375334	0.70438084	0.70460952	0.36371891	0.36372910	60072	42321	0
60072	42405	0.00186074	0.04831253	0.48248175	0.04828101	0.48253608	0.70386768	0.70395675	0.36323393	0.36309449	0.70405774	0.70389200	0.36335308	0.36305981	60072	42404	0
60072	42408	0.00214940	0.04830718	0.48129726	0.04850417	0.48043126	0.70373653	0.70380054	0.36333714	0.36321544	0.70427993	0.70438708	0.36333739	0.36339795	60072	42407	0
60072	42411	0.00091085	0.04830195	0.47901848	0.04834458	0.48273414	0.70425651	0.70450032	0.36329647	0.36333385	0.70439990	0.70451930	0.36354462	0.36357215	60072	42409	0
60072	42413	0.00201747	0.04832389	0.48175869	0.04843395	0.47843883	0.70452086	0.70445372	0.36348686	0.36338907	0.70454633	0.70445200	0.36348110	0.36347059	60072	42412	0
60072	42416	0.00129535	0.04833530	0.48004593	0.04836218	0.48221228	0.70441666	0.70449029	0.36347675	0.36357042	0.70442275	0.70435175	0.36361850	0.36352145	60072	42415	0
60072	42499	0.00147738	0.04850463	0.47941827	0.04847244	0.47887220	0.70446202	0.70472678	0.36393305	0.36392910	0.70433696	0.70476737	0.36378793	0.36405442	60072	42498	0
60072	42502	0.00135016	0.04834917	0.47950801	0.04845207	0.47988966	0.70466211	0.70484322	0.36400569	0.36394373	0.70478011	0.70479728	0.36408909	0.36391135	60072	42501	0
