% File initiated 12/05/2023 11:54:35 UTC
% Raw fountain data
%
% File notes: 1300 ms sequence 370 mV RF
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60076.496239
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60076	42902	0.00174411	0.00615939	0.47996745	0.00615769	0.47707014	0.69158361	0.69068531	0.35378256	0.35348962	0.69204237	0.69104900	0.35398667	0.35387287	60076	42900	0
60076	42904	0.00112982	0.00616903	0.47744795	0.00618853	0.47929083	0.69214295	0.69113339	0.35405652	0.35388462	0.69171221	0.69111466	0.35370400	0.35382907	60076	42903	0
60076	42907	0.00122049	0.00613392	0.47798118	0.00609431	0.47770918	0.69172831	0.69118269	0.35391198	0.35397969	0.69187104	0.69142263	0.35400220	0.35408240	60076	42906	0
60076	42910	0.00070209	0.00615322	0.47809458	0.00614651	0.47964978	0.69184713	0.69119970	0.35403532	0.35396367	0.69198666	0.69123479	0.35410089	0.35402916	60076	42908	0
60076	42912	0.00257312	0.00612828	0.48104973	0.00612340	0.47543664	0.69167531	0.69072204	0.35382874	0.35383178	0.69206135	0.69133356	0.35416170	0.35407320	60076	42911	0
60076	42915	0.00095299	0.00611446	0.47662824	0.00614246	0.48148864	0.69211805	0.69142830	0.35424954	0.35412522	0.69219496	0.69160662	0.35429876	0.35440657	60076	42914	0
60076	42918	0.00204295	0.00613881	0.48011767	0.00613801	0.47684777	0.69219538	0.69147605	0.35438603	0.35422053	0.69208905	0.69129338	0.35432448	0.35405200	60076	42916	0
60076	42920	0.00282583	0.00614822	0.48005667	0.00614236	0.47770803	0.69213342	0.69156109	0.35425036	0.35426844	0.69195026	0.69134096	0.35413598	0.35417025	60076	42919	0
60076	42923	0.00178822	0.00610692	0.47826354	0.00611991	0.48137638	0.69212290	0.69133101	0.35429802	0.35416770	0.69209126	0.69145164	0.35420788	0.35413327	60076	42922	0
60076	42926	0.00154272	0.00618429	0.47843557	0.00617785	0.47917204	0.69238897	0.69150809	0.35433459	0.35441010	0.69238971	0.69163340	0.35443706	0.35427978	60076	42924	0
