% File initiated 26/05/2023 14:17:31 UTC
% Raw fountain data
%
% File notes: 250 ms MOT 1600ms sequence
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60090.595498
%% clock_data = False
%% sequence = 6
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60090	51765	0.00067597	0.00682492	0.49691736	0.00686148	0.49856082	0.69473834	0.69408162	0.36114094	0.36141227	0.69466471	0.69392509	0.36107709	0.36127759	60090	51763	0
60090	51768	0.00090383	0.00681193	0.49978486	0.00684783	0.49951144	0.69482947	0.69422123	0.36104094	0.36127981	0.69487975	0.69387603	0.36118490	0.36120471	60090	51766	0
60090	51771	-0.00003073	0.00684314	0.49791382	0.00683589	0.49903529	0.69496776	0.69418417	0.36120084	0.36124423	0.69481205	0.69404999	0.36117899	0.36124809	60090	51770	0
60090	51775	0.00445820	0.00684118	0.50147817	0.00682624	0.49609146	0.69503185	0.69394883	0.36108465	0.36113141	0.69487729	0.69396461	0.36097495	0.36123034	60090	51773	0
60090	51778	0.00409478	0.00683015	0.49770244	0.00682083	0.49813854	0.69493580	0.69414802	0.36122558	0.36139945	0.69493276	0.69438919	0.36112648	0.36146379	60090	51776	0
60090	51781	0.00156321	0.00690583	0.49558106	0.00686469	0.49861894	0.69483012	0.69396091	0.36106682	0.36108950	0.69465863	0.69392287	0.36099303	0.36112960	60090	51779	0
60090	51784	0.00243871	0.00683461	0.49976730	0.00682544	0.49871671	0.69462741	0.69401851	0.36091941	0.36122623	0.69463464	0.69401227	0.36099714	0.36115023	60090	51783	0
60090	51788	0.00035518	0.00686701	0.49713418	0.00686757	0.49963441	0.69472042	0.69382796	0.36100856	0.36097167	0.69450883	0.69381350	0.36097101	0.36091259	60090	51786	0
60090	51791	0.00233051	0.00680499	0.49819579	0.00685140	0.49582540	0.69487696	0.69389805	0.36115491	0.36106230	0.69459281	0.69359377	0.36074339	0.36096427	60090	51789	0
60090	51794	0.00195366	0.00681782	0.49697442	0.00685104	0.49742663	0.69452790	0.69365334	0.36069656	0.36081028	0.69457342	0.69382968	0.36077125	0.36097668	60090	51792	0
60090	51797	0.00180396	0.00679771	0.49781477	0.00682153	0.49799442	0.69431754	0.69391457	0.36068727	0.36102426	0.69430003	0.69372828	0.36057207	0.36067166	60090	51796	0
60090	51801	-0.00028746	0.00687441	0.49625941	0.00682502	0.49876912	0.69421696	0.69361702	0.36063066	0.36076344	0.69442904	0.69363223	0.36068620	0.36075317	60090	51799	0
60090	51804	0.00100435	0.00688310	0.49924939	0.00688629	0.49769922	0.69435328	0.69352877	0.36044437	0.36054331	0.69434860	0.69351521	0.36034651	0.36031512	60090	51802	0
60090	51807	0.00129516	0.00688437	0.49893920	0.00686471	0.49859022	0.69412641	0.69335786	0.36028077	0.36037420	0.69416618	0.69326517	0.36027567	0.36042695	60090	51806	0
60090	51810	-0.00107352	0.00686647	0.49493680	0.00684575	0.49777921	0.69398713	0.69315884	0.36030411	0.36033172	0.69409107	0.69303361	0.36023714	0.36021027	60090	51809	0
60090	51814	-0.00094468	0.00680382	0.49967398	0.00678317	0.49951938	0.69386305	0.69308390	0.36010311	0.36021898	0.69393848	0.69313698	0.36012982	0.36020156	60090	51812	0
60090	51817	0.00033673	0.00681529	0.49883440	0.00675097	0.49729670	0.69368375	0.69286006	0.36005200	0.36014880	0.69366764	0.69292884	0.36000574	0.36008849	60090	51815	0
60090	51820	-0.00153095	0.00681666	0.49605752	0.00669897	0.49829873	0.69367635	0.69287091	0.35997501	0.36009736	0.69379912	0.69292925	0.35999933	0.36013130	60090	51819	0
60090	51823	0.00282658	0.00676913	0.50157038	0.00677322	0.49634135	0.69357586	0.69274436	0.36001815	0.36017378	0.69373297	0.69266383	0.36016154	0.36012111	60090	51822	0
60090	51827	0.00221752	0.00668924	0.49865176	0.00674480	0.49938263	0.69353058	0.69324610	0.36007140	0.36046656	0.69366156	0.69318127	0.36012826	0.36041471	60090	51825	0
60090	51830	0.00035002	0.00679170	0.49767491	0.00671802	0.49991591	0.69359106	0.69277805	0.36011979	0.36017764	0.69387628	0.69310099	0.36025373	0.36030706	60090	51828	0
60090	51833	0.00314925	0.00677918	0.50052224	0.00676572	0.49716317	0.69401851	0.69312449	0.36030115	0.36043147	0.69392952	0.69300953	0.36029498	0.36039992	60090	51832	0
60090	51837	0.00477988	0.00671817	0.49957491	0.00677406	0.49761815	0.69404654	0.69331504	0.36053295	0.36049893	0.69402320	0.69319885	0.36045349	0.36067708	60090	51835	0
60090	51840	-0.00053832	0.00673784	0.49668044	0.00668007	0.50306228	0.69409650	0.69339286	0.36054479	0.36077265	0.69421260	0.69342729	0.36073542	0.36080856	60090	51838	0
60090	51843	-0.00017754	0.00677095	0.49773211	0.00665066	0.49729917	0.69422698	0.69344118	0.36072639	0.36087512	0.69434030	0.69374735	0.36078210	0.36115664	60090	51841	0
60090	51846	0.00229080	0.00671354	0.50026958	0.00668973	0.49730758	0.69449503	0.69385384	0.36106690	0.36115795	0.69469429	0.69379205	0.36113930	0.36132139	60090	51845	0
60090	51850	0.00245146	0.00678720	0.49900488	0.00673850	0.49881209	0.69513432	0.69424958	0.36145804	0.36161630	0.69495716	0.69417045	0.36148072	0.36163019	60090	51848	0
60090	51853	0.00126301	0.00683940	0.49655288	0.00672725	0.49797901	0.69501411	0.69418894	0.36155862	0.36170078	0.69520400	0.69440653	0.36155131	0.36179486	60090	51851	0
60090	51856	0.00105844	0.00676482	0.49812920	0.00671275	0.49837469	0.69517130	0.69433750	0.36171006	0.36192165	0.69516070	0.69437374	0.36173077	0.36190062	60090	51854	0
60090	51859	0.00177916	0.00677389	0.49841338	0.00674721	0.49754851	0.69543597	0.69446306	0.36183734	0.36203086	0.69548454	0.69476529	0.36198928	0.36211591	60090	51858	0
60090	52337	0.00138343	0.00683710	0.49939073	0.00686918	0.49986561	0.69501723	0.69420595	0.36166626	0.36181672	0.69497573	0.69410101	0.36156043	0.36167218	60090	52335	0
60090	52340	0.00215164	0.00688824	0.49741070	0.00684432	0.49648885	0.69499882	0.69440480	0.36161450	0.36185271	0.69505536	0.69449051	0.36178402	0.36185444	60090	52338	0
60090	52343	0.00358971	0.00680295	0.50127897	0.00687852	0.49955328	0.69504812	0.69403750	0.36144506	0.36172157	0.69510745	0.69425336	0.36182247	0.36157522	60090	52342	0
60090	52347	0.00039400	0.00682911	0.49551939	0.00686309	0.49935424	0.69501509	0.69420069	0.36170308	0.36177843	0.69519727	0.69449059	0.36171121	0.36190974	60090	52345	0
60090	52350	0.00018607	0.00685292	0.49852640	0.00685215	0.49877591	0.69525035	0.69451869	0.36174548	0.36200596	0.69527894	0.69457531	0.36184910	0.36188344	60090	52348	0
60090	52353	0.00195832	0.00684697	0.49998734	0.00683747	0.49786065	0.69501928	0.69426437	0.36176758	0.36179404	0.69495642	0.69432386	0.36160307	0.36167801	60090	52351	0
60090	52356	0.00221585	0.00684671	0.49783617	0.00683642	0.49752714	0.69490753	0.69398466	0.36148417	0.36181631	0.69488238	0.69401810	0.36154991	0.36165476	60090	52355	0
60090	52360	0.00039450	0.00682409	0.49770570	0.00683056	0.49989131	0.69502717	0.69407965	0.36156544	0.36172682	0.69494689	0.69424983	0.36162773	0.36183644	60090	52358	0
60090	52363	0.00071280	0.00683883	0.49947787	0.00680895	0.49909592	0.69514739	0.69403388	0.36180283	0.36182814	0.69515150	0.69418820	0.36173825	0.36183176	60090	52361	0
60090	52366	0.00258743	0.00680972	0.50087491	0.00676632	0.49862534	0.69475707	0.69379263	0.36162896	0.36167711	0.69511912	0.69427727	0.36180160	0.36204672	60090	52364	0
60090	52369	0.00015944	0.00675020	0.49762654	0.00676460	0.50054013	0.69497417	0.69418639	0.36180127	0.36195493	0.69522800	0.69426322	0.36213218	0.36193883	60090	52368	0
60090	52373	0.00069624	0.00671467	0.49934339	0.00677671	0.49869923	0.69495774	0.69428796	0.36196561	0.36195723	0.69527722	0.69446503	0.36195049	0.36197679	60090	52371	0
60090	52376	-0.00032299	0.00672771	0.49834728	0.00674643	0.49957035	0.69505437	0.69433496	0.36183562	0.36199610	0.69501575	0.69423274	0.36183776	0.36198016	60090	52374	0
60090	52379	-0.00189512	0.00674892	0.49826944	0.00682945	0.50015600	0.69513514	0.69400750	0.36199117	0.36188205	0.69507918	0.69407382	0.36181902	0.36188139	60090	52378	0
60090	52382	0.00076262	0.00670612	0.50047524	0.00680536	0.49728595	0.69496382	0.69436791	0.36176750	0.36204729	0.69481402	0.69415722	0.36183726	0.36198049	60090	52381	0
60090	52386	0.00205735	0.00675169	0.49931584	0.00672088	0.49776216	0.69493029	0.69434285	0.36191623	0.36212568	0.69496751	0.69426651	0.36184228	0.36202790	60090	52384	0
60090	52389	0.00388254	0.00676162	0.50070905	0.00675906	0.49851883	0.69444457	0.69383412	0.36154416	0.36184228	0.69514254	0.69432239	0.36185764	0.36193620	60090	52387	0
60090	52392	0.00064974	0.00675126	0.49733869	0.00673575	0.50121804	0.69508962	0.69436059	0.36196348	0.36204754	0.69551765	0.69432230	0.36203456	0.36205748	60090	52391	0
60090	52395	-0.00097857	0.00674211	0.49767536	0.00676925	0.49962934	0.69516045	0.69439363	0.36189166	0.36209273	0.69516571	0.69436881	0.36192428	0.36202502	60090	52394	0
60090	52399	0.00044435	0.00676237	0.49989945	0.00668778	0.49819194	0.69512767	0.69440447	0.36195797	0.36196611	0.69488296	0.69426774	0.36191812	0.36186915	60090	52397	0
60090	52402	-0.00116071	0.00677740	0.49837443	0.00681553	0.50030051	0.69508116	0.69431006	0.36187161	0.36197556	0.69490112	0.69415360	0.36187827	0.36189199	60090	52400	0
60090	52405	0.00252517	0.00671963	0.50119553	0.00681285	0.49677247	0.69478731	0.69402229	0.36172321	0.36181450	0.69478172	0.69406593	0.36171433	0.36174408	60090	52404	0
60090	52409	0.00088887	0.00674230	0.49820680	0.00677441	0.50017037	0.69477129	0.69388729	0.36161417	0.36165969	0.69482207	0.69407061	0.36164268	0.36182863	60090	52407	0
60090	52412	0.00136224	0.00678753	0.49842480	0.00676217	0.49785676	0.69451097	0.69383807	0.36144900	0.36187062	0.69456841	0.69386502	0.36142829	0.36169823	60090	52410	0
60090	52415	0.00151841	0.00679031	0.49954118	0.00677932	0.49935378	0.69458147	0.69385762	0.36139970	0.36155722	0.69475962	0.69381407	0.36155459	0.36146174	60090	52413	0
60090	52418	0.00176921	0.00678433	0.50079315	0.00678916	0.50049219	0.69439576	0.69363428	0.36122829	0.36131104	0.69442691	0.69377948	0.36116584	0.36135557	60090	52417	0
60090	52422	0.00226200	0.00684134	0.49800239	0.00679203	0.49741104	0.69439938	0.69364176	0.36129197	0.36124489	0.69463924	0.69371957	0.36136083	0.36127299	60090	52420	0
60090	52425	0.00174315	0.00686758	0.49858818	0.00677974	0.49921080	0.69448862	0.69357775	0.36121128	0.36115425	0.69443627	0.69367923	0.36115031	0.36123100	60090	52423	0
60090	52428	0.00040797	0.00685941	0.49803257	0.00687481	0.49963479	0.69412312	0.69350856	0.36086928	0.36109534	0.69425911	0.69352154	0.36101226	0.36107060	60090	52426	0
60090	52431	0.00062573	0.00685961	0.49843656	0.00684907	0.49817525	0.69419149	0.69345219	0.36081579	0.36093231	0.69404054	0.69322655	0.36074685	0.36071233	60090	52430	0
60090	52909	0.00323928	0.00683808	0.50056461	0.00684221	0.49742835	0.69493226	0.69437892	0.36138688	0.36146938	0.69482577	0.69407061	0.36133125	0.36134284	60090	52907	0
60090	52912	0.00019636	0.00679591	0.49760211	0.00685794	0.50125362	0.69474623	0.69357627	0.36131136	0.36121736	0.69473850	0.69396675	0.36136379	0.36143783	60090	52910	0
60090	52915	0.00309939	0.00677370	0.50179787	0.00677035	0.49831424	0.69493843	0.69409354	0.36145114	0.36144884	0.69478526	0.69413208	0.36139625	0.36147439	60090	52914	0
60090	52919	0.00042115	0.00670875	0.49883499	0.00674195	0.50204888	0.69496078	0.69407949	0.36132221	0.36170184	0.69475913	0.69432362	0.36144309	0.36160439	60090	52917	0
60090	52922	0.00172882	0.00677723	0.50026972	0.00676943	0.49870050	0.69499077	0.69408261	0.36150841	0.36152279	0.69479339	0.69410126	0.36144900	0.36143511	60090	52920	0
60090	52925	0.00135847	0.00678997	0.49824142	0.00678020	0.49868584	0.69475444	0.69419066	0.36130635	0.36137907	0.69476849	0.69390438	0.36136979	0.36145681	60090	52923	0
60090	52928	-0.00025710	0.00671987	0.49787922	0.00678411	0.49981789	0.69488690	0.69418171	0.36142616	0.36144621	0.69477310	0.69393938	0.36131934	0.36140931	60090	52927	0
60090	52932	0.00252202	0.00673606	0.50110991	0.00678614	0.49777496	0.69495732	0.69408392	0.36141983	0.36164975	0.69468805	0.69396445	0.36143018	0.36138039	60090	52930	0
60090	52935	0.00041410	0.00676313	0.49783811	0.00677865	0.50036761	0.69479627	0.69346460	0.36136141	0.36115154	0.69474820	0.69400980	0.36125031	0.36160496	60090	52933	0
60090	52938	0.00162556	0.00680683	0.49967557	0.00676784	0.49822182	0.69481163	0.69396453	0.36142887	0.36157924	0.69481566	0.69398006	0.36152542	0.36172230	60090	52936	0
60090	52941	0.00196048	0.00676303	0.50001902	0.00678061	0.49961712	0.69479914	0.69395582	0.36151614	0.36144876	0.69476093	0.69410348	0.36148475	0.36164408	60090	52940	0
60090	52945	0.00011002	0.00675982	0.49889388	0.00673085	0.50111443	0.69484869	0.69414416	0.36144284	0.36157834	0.69517105	0.69411770	0.36157234	0.36162501	60090	52943	0
60090	52948	-0.00038977	0.00678999	0.49927807	0.00677553	0.49987782	0.69497138	0.69416634	0.36156511	0.36168171	0.69492002	0.69414251	0.36151367	0.36168771	60090	52946	0
60090	52951	0.00224928	0.00678191	0.49957939	0.00683247	0.49641253	0.69497047	0.69437810	0.36163331	0.36172896	0.69499907	0.69406938	0.36168048	0.36174696	60090	52950	0
60090	52954	0.00377197	0.00683150	0.50016485	0.00676379	0.49833763	0.69498362	0.69413668	0.36150118	0.36160850	0.69505478	0.69423709	0.36161901	0.36169963	60090	52953	0
60090	52958	0.00246256	0.00677019	0.49893271	0.00677350	0.50050400	0.69487581	0.69403133	0.36141934	0.36137612	0.69488140	0.69421819	0.36152156	0.36147842	60090	52956	0
60090	52961	0.00177473	0.00678758	0.49868921	0.00681800	0.49951460	0.69487556	0.69424818	0.36142558	0.36155361	0.69520474	0.69408384	0.36162074	0.36153758	60090	52959	0
60090	52964	0.00134880	0.00677383	0.49826925	0.00684619	0.49878037	0.69518042	0.69426322	0.36168689	0.36166988	0.69487951	0.69416149	0.36151104	0.36156815	60090	52963	0
60090	52967	0.00147967	0.00679047	0.50000805	0.00684722	0.49985102	0.69531395	0.69425722	0.36153602	0.36174030	0.69523712	0.69463217	0.36148606	0.36176306	60090	52966	0
60090	52971	0.00272279	0.00682837	0.49924795	0.00686927	0.49775619	0.69551330	0.69439954	0.36155624	0.36155845	0.69532455	0.69434704	0.36176931	0.36158237	60090	52969	0
60090	52974	-0.00042664	0.00683227	0.49631981	0.00678502	0.50009913	0.69507729	0.69415738	0.36148047	0.36160381	0.69508724	0.69441097	0.36154933	0.36177415	60090	52972	0
60090	52977	0.00056025	0.00684873	0.49858573	0.00685804	0.49740146	0.69495757	0.69407694	0.36147628	0.36148417	0.69497672	0.69433027	0.36140545	0.36151827	60090	52976	0
60090	52981	0.00413836	0.00683343	0.50080982	0.00681860	0.49651609	0.69477301	0.69421614	0.36130438	0.36149075	0.69481246	0.69406913	0.36132657	0.36143783	60090	52979	0
60090	52984	0.00305127	0.00685805	0.49763271	0.00682828	0.49893722	0.69506612	0.69414982	0.36139288	0.36155903	0.69487688	0.69405730	0.36148179	0.36137973	60090	52982	0
60090	52987	0.00216902	0.00684770	0.49732121	0.00682972	0.49837991	0.69507713	0.69421975	0.36142057	0.36144613	0.69508839	0.69432863	0.36151079	0.36181327	60090	52985	0
60090	52990	0.00203390	0.00683656	0.49920294	0.00686630	0.49936507	0.69489044	0.69426511	0.36147365	0.36148154	0.69466504	0.69404571	0.36142665	0.36140701	60090	52989	0
60090	52994	0.00042186	0.00682584	0.49708415	0.00687700	0.49901859	0.69480112	0.69421556	0.36141638	0.36150258	0.69495338	0.69409559	0.36126962	0.36140488	60090	52992	0
60090	52997	0.00049130	0.00681797	0.49907349	0.00687542	0.49899016	0.69495609	0.69420767	0.36126091	0.36148812	0.69453537	0.69388647	0.36123347	0.36139165	60090	52995	0
60090	53000	-0.00008746	0.00679929	0.49934383	0.00686804	0.50003835	0.69477260	0.69428771	0.36124152	0.36145155	0.69497746	0.69430727	0.36123084	0.36155829	60090	52998	0
60090	53003	0.00246822	0.00679531	0.50025376	0.00685970	0.49718694	0.69441138	0.69391169	0.36114858	0.36132394	0.69459823	0.69399846	0.36102557	0.36124218	60090	53002	0
60090	53481	0.00301581	0.00675844	0.49992031	0.00677123	0.49926320	0.69450834	0.69394760	0.36119452	0.36137587	0.69426980	0.69365918	0.36108170	0.36139271	60090	53479	0
60090	53484	0.00258632	0.00685546	0.50048191	0.00676498	0.50099730	0.69456717	0.69388301	0.36117611	0.36130915	0.69467531	0.69394349	0.36102163	0.36113527	60090	53482	0
60090	53487	0.00156047	0.00679518	0.49920582	0.00671258	0.50043684	0.69438401	0.69342828	0.36115343	0.36102229	0.69447539	0.69351102	0.36107750	0.36117389	60090	53486	0
60090	53490	0.00301143	0.00673247	0.49948988	0.00675232	0.49774873	0.69486620	0.69393363	0.36120388	0.36114513	0.69440801	0.69374718	0.36105080	0.36110881	60090	53489	0
60090	53494	0.00079726	0.00681929	0.49960507	0.00680110	0.50226207	0.69449692	0.69340453	0.36098975	0.36073518	0.69485905	0.69415171	0.36109016	0.36120331	60090	53492	0
60090	53497	0.00135538	0.00680254	0.50026509	0.00676502	0.49959534	0.69457038	0.69369550	0.36092343	0.36102935	0.69438064	0.69353206	0.36094192	0.36106058	60090	53495	0
60090	53500	0.00273819	0.00680511	0.49993124	0.00675460	0.49827186	0.69444942	0.69384571	0.36079516	0.36102450	0.69455723	0.69371366	0.36088588	0.36087544	60090	53499	0
60090	53504	-0.00144049	0.00677416	0.49645661	0.00675933	0.50147103	0.69451089	0.69376091	0.36079023	0.36101777	0.69447440	0.69373354	0.36091949	0.36095367	60090	53502	0
60090	53507	0.00154936	0.00680337	0.50106390	0.00675020	0.49747607	0.69440973	0.69345161	0.36093181	0.36082195	0.69435377	0.69359788	0.36082072	0.36094570	60090	53505	0
60090	53510	0.00201181	0.00672671	0.49901499	0.00672520	0.49846005	0.69429354	0.69355375	0.36069081	0.36080806	0.69462880	0.69376198	0.36085901	0.36097734	60090	53508	0
60090	53513	0.00329800	0.00676673	0.49863635	0.00680291	0.49709292	0.69444531	0.69375253	0.36100092	0.36104020	0.69454096	0.69381695	0.36085613	0.36116132	60090	53512	0
60090	53517	0.00203558	0.00678305	0.49861613	0.00685065	0.50013105	0.69454926	0.69323402	0.36082384	0.36083493	0.69479347	0.69393495	0.36099361	0.36111596	60090	53515	0
60090	53520	0.00338900	0.00677266	0.50005757	0.00684188	0.49843347	0.69474984	0.69407702	0.36098555	0.36117356	0.69497121	0.69391087	0.36112114	0.36116189	60090	53518	0
60090	53523	0.00108888	0.00682423	0.49683806	0.00680903	0.49959820	0.69465452	0.69376838	0.36107718	0.36117036	0.69433455	0.69364603	0.36106855	0.36110084	60090	53521	0
60090	53526	0.00072758	0.00684991	0.49916394	0.00686667	0.49959750	0.69485823	0.69394300	0.36118359	0.36139838	0.69464967	0.69412312	0.36121547	0.36127135	60090	53525	0
60090	53530	0.00038062	0.00688307	0.49888527	0.00682845	0.49930163	0.69489989	0.69417168	0.36141835	0.36143955	0.69514139	0.69416725	0.36127989	0.36145180	60090	53528	0
60090	53533	-0.00136650	0.00684511	0.49696319	0.00681600	0.49905972	0.69508872	0.69430751	0.36135713	0.36156864	0.69503235	0.69419757	0.36131136	0.36151811	60090	53531	0
60090	53536	0.00029435	0.00689072	0.49914218	0.00688814	0.49714917	0.69487893	0.69406856	0.36148072	0.36137825	0.69494147	0.69416963	0.36135064	0.36153150	60090	53535	0
60090	53539	0.00344968	0.00685801	0.50101109	0.00686181	0.49722469	0.69462395	0.69382968	0.36107627	0.36116855	0.69504122	0.69424818	0.36132484	0.36147119	60090	53538	0
60090	53543	0.00073086	0.00684754	0.49675714	0.00685134	0.50001973	0.69495363	0.69427399	0.36152255	0.36165262	0.69516037	0.69417111	0.36145779	0.36175295	60090	53541	0
60090	53546	0.00177400	0.00683827	0.49850210	0.00684508	0.49725032	0.69528782	0.69440669	0.36149354	0.36187588	0.69511057	0.69416190	0.36161901	0.36160455	60090	53544	0
60090	53549	0.00406264	0.00689722	0.49929334	0.00683389	0.49654698	0.69525848	0.69439511	0.36164851	0.36170497	0.69511986	0.69431187	0.36173553	0.36177153	60090	53548	0
60090	53552	-0.00068782	0.00687837	0.49661040	0.00688269	0.50231095	0.69527475	0.69441935	0.36186224	0.36198361	0.69542340	0.69466447	0.36183677	0.36195271	60090	53551	0
