% File initiated 26/05/2023 14:17:31 UTC
% Raw fountain data
%
% File notes: 250 ms MOT 1600ms sequence
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60090.595498
%% clock_data = False
%% sequence = 7
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60090	51863	0.00223126	0.04981343	0.50535263	0.04966849	0.50371441	0.69466627	0.69452765	0.36204491	0.36217540	0.69468838	0.69468501	0.36189297	0.36206447	60090	51861	0
60090	51866	0.00119527	0.04973673	0.50502375	0.04991102	0.50560390	0.69468345	0.69536720	0.36211426	0.36259497	0.69484878	0.69482002	0.36208008	0.36222733	60090	51864	0
60090	51869	0.00139460	0.04991916	0.50513984	0.05040963	0.50502822	0.69508223	0.69503481	0.36217187	0.36237746	0.69506522	0.69502076	0.36230211	0.36234508	60090	51868	0
60090	51872	0.00008766	0.05023916	0.50425920	0.05055836	0.50499109	0.69510375	0.69513925	0.36218320	0.36243999	0.69514180	0.69525865	0.36226028	0.36245067	60090	51871	0
60090	51876	0.00076273	0.05092528	0.50404847	0.05073607	0.50367042	0.69539193	0.69528954	0.36241756	0.36253564	0.69518042	0.69525906	0.36242068	0.36268560	60090	51874	0
60090	52435	0.00103988	0.05076902	0.50473220	0.05053692	0.50457699	0.69302194	0.69301175	0.36058127	0.36065638	0.69336648	0.69355753	0.36061611	0.36082935	60090	52433	0
60090	52438	0.00061186	0.05070455	0.50433605	0.05081833	0.50457574	0.69384004	0.69388983	0.36098087	0.36103675	0.69356649	0.69356534	0.36067643	0.36084011	60090	52436	0
60090	52441	0.00058509	0.05053295	0.50432037	0.05068196	0.50433536	0.69353083	0.69351990	0.36075588	0.36089147	0.69338760	0.69330970	0.36051578	0.36062195	60090	52440	0
60090	52444	0.00090707	0.05048238	0.50414073	0.05033489	0.50396042	0.69299630	0.69318447	0.36041652	0.36042194	0.69337100	0.69324849	0.36036894	0.36048349	60090	52443	0
60090	52448	0.00134531	0.05054723	0.50475244	0.05069134	0.50450703	0.69309482	0.69332992	0.36044980	0.36062959	0.69314955	0.69315276	0.36033155	0.36055267	60090	52446	0
60090	53007	0.00187201	0.05056998	0.50462340	0.05083578	0.50432844	0.69422041	0.69432896	0.36128302	0.36127915	0.69398113	0.69404966	0.36097652	0.36128121	60090	53005	0
60090	53010	-0.00066935	0.05039020	0.50349139	0.05069300	0.50491455	0.69433348	0.69419075	0.36131038	0.36128597	0.69409452	0.69435936	0.36110528	0.36131802	60090	53008	0
60090	53013	0.00240144	0.05061314	0.50553009	0.05073924	0.50381044	0.69424177	0.69421384	0.36107570	0.36116329	0.69405467	0.69391375	0.36102541	0.36109723	60090	53012	0
60090	53016	0.00136495	0.05069406	0.50449054	0.05058696	0.50507098	0.69402838	0.69404234	0.36094496	0.36101407	0.69383601	0.69400381	0.36094307	0.36099311	60090	53015	0
60090	53020	0.00173004	0.05058213	0.50515204	0.05059099	0.50494759	0.69361152	0.69385327	0.36075876	0.36105556	0.69412608	0.69425164	0.36110199	0.36112237	60090	53018	0
60090	53579	0.00086754	0.05076161	0.50415699	0.05087438	0.50463999	0.69496341	0.69490704	0.36197096	0.36203028	0.69505462	0.69520795	0.36220375	0.36232553	60090	53577	0
60090	53582	-0.00022954	0.05092678	0.50397864	0.05113897	0.50459301	0.69493719	0.69487770	0.36201533	0.36225026	0.69494976	0.69495478	0.36196989	0.36208534	60090	53580	0
60090	53585	0.00407848	0.05116063	0.50560666	0.05089863	0.50319417	0.69427292	0.69451475	0.36168697	0.36194450	0.69503251	0.69516284	0.36209125	0.36230778	60090	53584	0
