% File initiated 09/06/2023 09:26:46 UTC
% Raw fountain data
%
% File notes: 1-1 fringe tracking test
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60104.393598
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60104	34016	0.00787348	0.02821524	0.93259796	0.02835308	0.94965353	0.53226911	0.53233377	0.29454804	0.29476752	0.53229162	0.53239261	0.29456333	0.29467007	60104	34015	0
60104	34020	0.04073845	0.02850880	0.93448366	0.02834364	0.94762965	0.53246311	0.53250962	0.29460926	0.29488749	0.53237075	0.53238061	0.29462142	0.29465092	60104	34018	0
60104	34023	0.08356574	0.02839354	0.93276886	0.02840334	0.94989977	0.53215916	0.53222391	0.29441394	0.29460359	0.53196934	0.53203681	0.29431944	0.29444779	60104	34021	0
60104	34026	0.12102455	0.02842767	0.93334293	0.02849876	0.94832645	0.53203689	0.53200451	0.29418904	0.29442963	0.53200624	0.53197542	0.29431254	0.29443103	60104	34024	0
60104	34029	0.09317607	0.02847364	0.94075829	0.02845019	0.92961890	0.53195061	0.53185356	0.29417235	0.29439455	0.53182973	0.53184551	0.29426808	0.29421344	60104	34028	0
60104	34033	0.01588481	0.02842590	0.95219638	0.02815364	0.92127987	0.53186589	0.53191955	0.29406956	0.29422700	0.53201840	0.53197222	0.29417556	0.29441451	60104	34032	0
60104	34037	-0.02505780	0.02860180	0.95010823	0.02862423	0.93373119	0.53186359	0.53212153	0.29426792	0.29431205	0.53199104	0.53197140	0.29435921	0.29432741	60104	34035	0
60104	34040	0.02361290	0.02841280	0.93309138	0.02848983	0.95255966	0.53203796	0.53188339	0.29413513	0.29424368	0.53183828	0.53197715	0.29417383	0.29430975	60104	34038	0
60104	34043	0.07910200	0.02841796	0.92975881	0.02826751	0.95195446	0.53176958	0.53178027	0.29420950	0.29433588	0.53188364	0.53203738	0.29406011	0.29440893	60104	34041	0
60104	34046	0.05801072	0.02826050	0.94393383	0.02833075	0.93549732	0.53190722	0.53197090	0.29430169	0.29444245	0.53189333	0.53193943	0.29415296	0.29433686	60104	34045	0
60104	34050	0.07174998	0.02833826	0.93877827	0.02826083	0.94427398	0.53187131	0.53196573	0.29424319	0.29416611	0.53188224	0.53196639	0.29421706	0.29427992	60104	34049	0
60104	34053	0.04739813	0.02823549	0.94584299	0.02817217	0.93610225	0.53191412	0.53196934	0.29426808	0.29429997	0.53199391	0.53194395	0.29417071	0.29427408	60104	34052	0
60104	34057	0.02514498	0.02840558	0.94650724	0.02827162	0.93760598	0.53185299	0.53185208	0.29420785	0.29434952	0.53191947	0.53194929	0.29409224	0.29420802	60104	34055	0
60104	34060	0.02899737	0.02829652	0.94126980	0.02828382	0.94281076	0.53183729	0.53185455	0.29428961	0.29434894	0.53183466	0.53189194	0.29415650	0.29422355	60104	34058	0
60104	34063	0.05041187	0.02835419	0.93661642	0.02833609	0.94518222	0.53177706	0.53185250	0.29415674	0.29422675	0.53180730	0.53178405	0.29407613	0.29433111	60104	34062	0
60104	34067	0.06400488	0.02821837	0.93495051	0.02822192	0.94038771	0.53173088	0.53176695	0.29414302	0.29423365	0.53183516	0.53203870	0.29408435	0.29427794	60104	34066	0
60104	34070	0.05299271	0.02822555	0.94086570	0.02777745	0.93646084	0.53183450	0.53190106	0.29422429	0.29441262	0.53175118	0.53184198	0.29415839	0.29439841	60104	34069	0
60104	34074	0.01937851	0.02837349	0.94854917	0.02817245	0.93510348	0.53184124	0.53186819	0.29431961	0.29437639	0.53174017	0.53183277	0.29428994	0.29444886	60104	34072	0
60104	34077	0.02587786	0.02809152	0.94025490	0.02828052	0.94285465	0.53176005	0.53183918	0.29417014	0.29436135	0.53195579	0.53183236	0.29424458	0.29441829	60104	34075	0
60104	34080	0.05364645	0.02823911	0.93608134	0.02823910	0.94718878	0.53201889	0.53229178	0.29427236	0.29463095	0.53188282	0.53196228	0.29419446	0.29440580	60104	34079	0
60104	34084	0.04383468	0.02794559	0.94223326	0.02832112	0.93830855	0.53197074	0.53207091	0.29436899	0.29440202	0.53192341	0.53205924	0.29436201	0.29448937	60104	34082	0
60104	34087	0.00621610	0.02826042	0.94661825	0.02824189	0.93157082	0.53198331	0.53195652	0.29438575	0.29449028	0.53191002	0.53208742	0.29448428	0.29451189	60104	34086	0
60104	34091	-0.01903138	0.02815194	0.94498733	0.02824645	0.93488834	0.53193426	0.53213213	0.29436924	0.29454393	0.53213040	0.53213385	0.29446735	0.29473876	60104	34089	0
60104	34094	-0.02799061	0.02830165	0.94484098	0.02826604	0.94125728	0.53204363	0.53207419	0.29455133	0.29459283	0.53203188	0.53228710	0.29461781	0.29461509	60104	34092	0
60104	34097	0.00009467	0.02844489	0.93611008	0.02832756	0.94734419	0.53221791	0.53220485	0.29450383	0.29466062	0.53217880	0.53230962	0.29447524	0.29475733	60104	34096	0
60104	34101	0.01905701	0.02800202	0.93959631	0.02849214	0.94718125	0.53215349	0.53224782	0.29458740	0.29481124	0.53225694	0.53243986	0.29454344	0.29483104	60104	34099	0
60104	34104	0.02141203	0.02839022	0.93648997	0.02851838	0.93743198	0.53223476	0.53237979	0.29465939	0.29489431	0.53233649	0.53246574	0.29467705	0.29488445	60104	34103	0
60104	34108	0.01785997	0.02842385	0.94196827	0.02842269	0.94054744	0.53235941	0.53240691	0.29469932	0.29493006	0.53218529	0.53245473	0.29468519	0.29496860	60104	34106	0
60104	34111	0.02761543	0.02870445	0.93952999	0.02848796	0.94343217	0.53242507	0.53231438	0.29482767	0.29490048	0.53225259	0.53247651	0.29485224	0.29506712	60104	34109	0
60104	34114	0.07202549	0.02824473	0.93644468	0.02855196	0.95420870	0.53254348	0.53244052	0.29486038	0.29502538	0.53233517	0.53260248	0.29489012	0.29490919	60104	34112	0
60104	34118	0.12893700	0.02860264	0.93129049	0.02850880	0.95405509	0.53243065	0.53265934	0.29495693	0.29507493	0.53255597	0.53269319	0.29501560	0.29522284	60104	34116	0
60104	34121	0.17419403	0.02814478	0.93573479	0.02846804	0.95383761	0.53268325	0.53254857	0.29493080	0.29511503	0.53241438	0.53259878	0.29508947	0.29510632	60104	34120	0
60104	34125	0.21246157	0.02848950	0.93310999	0.02855357	0.94841700	0.53240732	0.53261505	0.29488092	0.29506244	0.53250937	0.53246533	0.29494148	0.29506704	60104	34123	0
60104	34128	0.20587472	0.02859597	0.93900553	0.02860932	0.93637079	0.53263386	0.53264290	0.29499908	0.29509062	0.53251759	0.53261948	0.29494616	0.29500401	60104	34126	0
60104	34131	0.20273384	0.02849597	0.94198423	0.02848764	0.94072788	0.53250921	0.53259730	0.29485923	0.29508158	0.53249146	0.53266435	0.29495611	0.29505143	60104	34129	0
60104	34135	0.22225833	0.02833682	0.93671837	0.02835561	0.94452817	0.53254044	0.53248111	0.29500615	0.29515948	0.53258966	0.53267733	0.29502924	0.29516170	60104	34133	0
60104	34138	0.21941721	0.02846366	0.94066257	0.02855565	0.93952612	0.53248859	0.53256410	0.29505668	0.29510287	0.53263649	0.53262441	0.29524247	0.29518142	60104	34137	0
60104	34141	0.24117141	0.02839146	0.93676179	0.02848692	0.94546347	0.53267281	0.53243616	0.29507337	0.29517781	0.53249762	0.53260765	0.29493088	0.29510114	60104	34140	0
60104	34145	0.24063677	0.02840377	0.93802867	0.02843707	0.93781481	0.53232975	0.53246508	0.29491223	0.29499522	0.53223550	0.53231742	0.29476596	0.29485413	60104	34143	0
60104	34148	0.23460476	0.02848975	0.94024402	0.02842067	0.93783122	0.53216729	0.53211117	0.29467730	0.29479061	0.53203582	0.53222802	0.29465010	0.29476415	60104	34146	0
60104	34152	0.23731209	0.02840608	0.94293379	0.02782965	0.94401672	0.53210098	0.53209301	0.29464262	0.29480705	0.53210057	0.53224552	0.29469965	0.29486038	60104	34150	0
60104	34155	0.25749553	0.02854091	0.93524628	0.02847769	0.94331966	0.53206261	0.53216713	0.29469505	0.29489571	0.53211544	0.53225612	0.29465700	0.29490146	60104	34153	0
60104	34158	0.24165956	0.02790227	0.94690195	0.02849940	0.94056755	0.53204322	0.53206721	0.29466095	0.29469981	0.53195710	0.53207650	0.29458247	0.29474706	60104	34157	0
60104	34162	0.23874289	0.02846797	0.94057376	0.02794989	0.93940709	0.53214182	0.53207682	0.29455815	0.29467672	0.53196030	0.53199983	0.29429561	0.29470770	60104	34160	0
60104	34165	0.23109023	0.02840095	0.94149849	0.02823924	0.93843742	0.53180196	0.53187961	0.29442774	0.29452627	0.53191149	0.53186047	0.29451230	0.29451296	60104	34163	0
60104	34169	0.21937787	0.02838508	0.94274787	0.02824441	0.93806292	0.53175323	0.53188462	0.29439381	0.29448280	0.53182825	0.53206491	0.29430761	0.29470392	60104	34167	0
60104	34172	0.22493045	0.02812658	0.94021205	0.02813087	0.94243309	0.53182078	0.53185389	0.29439611	0.29451879	0.53173524	0.53179662	0.29427967	0.29447573	60104	34170	0
60104	34175	0.22328518	0.02825432	0.93895412	0.02826417	0.93829601	0.53180377	0.53182193	0.29427030	0.29442963	0.53172003	0.53178051	0.29418468	0.29447729	60104	34174	0
60104	34179	0.20228703	0.02824763	0.94597471	0.02792344	0.93757545	0.53170072	0.53176120	0.29432758	0.29435264	0.53181585	0.53179432	0.29418098	0.29429002	60104	34177	0
