% File initiated 16/06/2023 10:28:54 UTC
% Raw fountain data
%
% File notes: 250 ms MOT 1600ms sequence
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60111.436742
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60111	37767	0.00041031	0.00812829	0.48079558	0.00811688	0.47993967	0.73408100	0.73322263	0.37007726	0.36997915	0.73453549	0.73331697	0.37028507	0.37016510	60111	37766	0
60111	37771	0.00210203	0.00813401	0.48080868	0.00813300	0.47573354	0.73413638	0.73342708	0.37011909	0.37014727	0.73422340	0.73332461	0.37015261	0.37005721	60111	37769	0
60111	37774	0.00117594	0.00807614	0.47760780	0.00817711	0.48038608	0.73432998	0.73333447	0.36990717	0.36995047	0.73355461	0.73280052	0.36964266	0.36968662	60111	37772	0
60111	37777	0.00118648	0.00810971	0.47758234	0.00813664	0.47755071	0.73351442	0.73269739	0.36956476	0.36953879	0.73362577	0.73271514	0.36950527	0.36973682	60111	37776	0
60111	37781	0.00018116	0.00805178	0.47871613	0.00815842	0.48173210	0.73377548	0.73282977	0.36971250	0.36961390	0.73359347	0.73243740	0.36939540	0.36937034	60111	37779	0
60111	37784	0.00061446	0.00814701	0.48093432	0.00813804	0.47963441	0.73378107	0.73250544	0.36952745	0.36935193	0.73340415	0.73252007	0.36934856	0.36928866	60111	37782	0
60111	37787	0.00037734	0.00815831	0.47799750	0.00809960	0.47870888	0.73367992	0.73278992	0.36955062	0.36948628	0.73333595	0.73253223	0.36924092	0.36936089	60111	37785	0
60111	37790	0.00033890	0.00811400	0.47762134	0.00812591	0.47773665	0.73310628	0.73217922	0.36907995	0.36901528	0.73301696	0.73218423	0.36887468	0.36909375	60111	37789	0
60111	37794	0.00062219	0.00816069	0.48032689	0.00811112	0.47947703	0.73297365	0.73196220	0.36888430	0.36866095	0.73308270	0.73184889	0.36889440	0.36869407	60111	37792	0
60111	37797	0.00070712	0.00811898	0.47949914	0.00814703	0.47924434	0.73327005	0.73229204	0.36914281	0.36887361	0.73298795	0.73196582	0.36884017	0.36871823	60111	37795	0
60111	37800	-0.00006478	0.00810556	0.47774808	0.00815513	0.48006378	0.73325033	0.73202835	0.36900829	0.36883294	0.73316996	0.73228793	0.36907863	0.36899178	60111	37798	0
60111	37803	0.00131000	0.00810123	0.48345588	0.00812742	0.47933155	0.73302731	0.73212983	0.36880566	0.36891248	0.73282386	0.73213550	0.36870648	0.36867254	60111	37802	0
60111	37807	0.00092344	0.00807521	0.47905750	0.00807057	0.48021717	0.73313077	0.73201545	0.36891232	0.36890163	0.73298236	0.73207429	0.36876334	0.36893384	60111	37805	0
60111	37810	0.00048905	0.00813242	0.47645751	0.00810379	0.47776066	0.73297234	0.73213764	0.36877903	0.36890903	0.73263905	0.73177025	0.36862463	0.36875183	60111	37808	0
60111	37813	-0.00032667	0.00807741	0.47729373	0.00808761	0.47974090	0.73288976	0.73178628	0.36880673	0.36869070	0.73283807	0.73176549	0.36870631	0.36862759	60111	37812	0
60111	37816	-0.00001381	0.00810812	0.48107071	0.00813355	0.48013212	0.73278704	0.73165817	0.36864501	0.36857845	0.73279707	0.73211102	0.36877279	0.36895751	60111	37815	0
60111	37820	0.00055646	0.00810923	0.47780132	0.00812974	0.47609053	0.73299354	0.73218514	0.36881560	0.36903845	0.73296897	0.73194741	0.36904297	0.36881691	60111	37818	0
60111	37823	0.00033475	0.00810103	0.47837853	0.00811755	0.47904364	0.73323545	0.73219196	0.36897263	0.36884157	0.73323340	0.73231053	0.36927403	0.36889728	60111	37821	0
60111	37826	-0.00011390	0.00811877	0.47695758	0.00815832	0.47830352	0.73298319	0.73195645	0.36894461	0.36880368	0.73292419	0.73204520	0.36891108	0.36901339	60111	37825	0
60111	37829	-0.00038123	0.00808411	0.47891426	0.00813524	0.47971628	0.73304851	0.73218374	0.36905973	0.36919646	0.73326840	0.73201356	0.36913147	0.36896712	60111	37828	0
60111	37833	-0.00010848	0.00816766	0.47934647	0.00810401	0.47852822	0.73330826	0.73240914	0.36907485	0.36920961	0.73317695	0.73252155	0.36902300	0.36921873	60111	37831	0
60111	37836	0.00101784	0.00810365	0.48051046	0.00812323	0.47713149	0.73339454	0.73290126	0.36925382	0.36958941	0.73354171	0.73258868	0.36938184	0.36924749	60111	37834	0
60111	37839	-0.00046081	0.00813926	0.47785555	0.00810700	0.48229149	0.73312822	0.73232269	0.36904075	0.36921495	0.73307834	0.73195448	0.36904543	0.36909038	60111	37838	0
60111	37843	-0.00029631	0.00817235	0.47772884	0.00812283	0.47723536	0.73331401	0.73233124	0.36917231	0.36918956	0.73358690	0.73231012	0.36944972	0.36932408	60111	37841	0
60111	37846	0.00023975	0.00811726	0.47902184	0.00816687	0.47741365	0.73376735	0.73241850	0.36947174	0.36935465	0.73321105	0.73235646	0.36934199	0.36923467	60111	37844	0
60111	37849	0.00028263	0.00809732	0.48031925	0.00809957	0.48019060	0.73343858	0.73253691	0.36943378	0.36935317	0.73346907	0.73255022	0.36936985	0.36950863	60111	37847	0
60111	37852	0.00019084	0.00810066	0.48010014	0.00812112	0.48037553	0.73344244	0.73244940	0.36939943	0.36941381	0.73363193	0.73247011	0.36952515	0.36931956	60111	37851	0
60111	37856	-0.00061164	0.00809263	0.47871917	0.00810524	0.48112661	0.73354943	0.73316667	0.36963296	0.36993699	0.73391518	0.73267964	0.36965613	0.36954405	60111	37854	0
60111	37859	-0.00015177	0.00820969	0.47957791	0.00814374	0.47819829	0.73381123	0.73303545	0.36989837	0.36969385	0.73431058	0.73345740	0.37013585	0.37018162	60111	37857	0
60111	37862	0.00141930	0.00814885	0.48237435	0.00809888	0.47766114	0.73396719	0.73336882	0.36994398	0.37003116	0.73424830	0.73312797	0.37008762	0.37005828	60111	37861	0
60111	37882	0.00148314	0.00812589	0.47962093	0.00810487	0.47942939	0.73485801	0.73391230	0.37074671	0.37087926	0.73488233	0.73399718	0.37094598	0.37095420	60111	37881	0
60111	37886	0.00073033	0.00812773	0.47884101	0.00808358	0.48109944	0.73499852	0.73393325	0.37094458	0.37080966	0.73530963	0.73386333	0.37111024	0.37086668	60111	37884	0
60111	37889	0.00111751	0.00812957	0.48013978	0.00813373	0.47897824	0.73469038	0.73358107	0.37083497	0.37080719	0.73482276	0.73385601	0.37084663	0.37088205	60111	37887	0
60111	37892	0.00158816	0.00811795	0.48049661	0.00815059	0.47908465	0.73500214	0.73374837	0.37091451	0.37082453	0.73485275	0.73386374	0.37101755	0.37091459	60111	37891	0
60111	37895	0.00008088	0.00813726	0.47901807	0.00813331	0.48353992	0.73488184	0.73411633	0.37095066	0.37098920	0.73513781	0.73428602	0.37115511	0.37109496	60111	37894	0
60111	37899	0.00049792	0.00808750	0.47774939	0.00809835	0.47649829	0.73524570	0.73429316	0.37126037	0.37128732	0.73514175	0.73411485	0.37132044	0.37123621	60111	37897	0
60111	37902	0.00086749	0.00814335	0.47996229	0.00808920	0.47885358	0.73499762	0.73390983	0.37110326	0.37093094	0.73486122	0.73399669	0.37115806	0.37119512	60111	37900	0
60111	37905	-0.00009887	0.00811006	0.47669128	0.00811492	0.47959035	0.73496804	0.73376875	0.37116661	0.37090859	0.73477173	0.73359709	0.37103045	0.37083899	60111	37904	0
60111	37908	0.00019870	0.00808922	0.48013214	0.00807355	0.47923945	0.73452596	0.73373004	0.37079996	0.37087334	0.73474149	0.73365938	0.37093908	0.37082001	60111	37907	0
60111	37912	0.00047661	0.00814537	0.47972798	0.00812487	0.47889424	0.73480723	0.73373308	0.37093727	0.37077597	0.73452094	0.73345419	0.37066536	0.37082823	60111	37910	0
60111	37915	-0.00009125	0.00812079	0.47875147	0.00811212	0.48045505	0.73497207	0.73337736	0.37110490	0.37069133	0.73433146	0.73338279	0.37061811	0.37064096	60111	37913	0
60111	37918	0.00082756	0.00810170	0.48091978	0.00818016	0.47816335	0.73449375	0.73336044	0.37075608	0.37045739	0.73425816	0.73340349	0.37048549	0.37045673	60111	37917	0
60111	37922	-0.00063979	0.00814936	0.47963002	0.00809179	0.48403206	0.73426860	0.73340103	0.37047719	0.37042698	0.73439317	0.73332847	0.37050250	0.37041162	60111	37920	0
60111	37925	0.00123147	0.00820441	0.48073058	0.00812025	0.47511682	0.73412003	0.73335994	0.37033166	0.37040200	0.73420951	0.73307242	0.37030389	0.37024473	60111	37923	0
