% File initiated 16/06/2023 10:28:54 UTC
% Raw fountain data
%
% File notes: 250 ms MOT 1600ms sequence
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60111.436742
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60115	81	-0.00009726	0.05899640	0.48188768	0.05905025	0.48230739	0.72492241	0.72492421	0.35740682	0.35726022	0.72471081	0.72496152	0.35730813	0.35718841	60115	79	0
60115	84	0.00101673	0.05919490	0.48443707	0.05902463	0.48109510	0.72478345	0.72532677	0.35712152	0.35735694	0.72482939	0.72536572	0.35714650	0.35747404	60115	82	0
60115	87	0.00014539	0.05904103	0.48189063	0.05907029	0.48450465	0.72466455	0.72487828	0.35709136	0.35696876	0.72484114	0.72498461	0.35716836	0.35704231	60115	86	0
60115	90	0.00014624	0.05950779	0.48193999	0.05934760	0.48193743	0.72474089	0.72495297	0.35718093	0.35705093	0.72484237	0.72494541	0.35691420	0.35707328	60115	89	0
60115	94	0.00018159	0.05937424	0.48113960	0.05928464	0.48103356	0.72530278	0.72503892	0.35736056	0.35694962	0.72496645	0.72498198	0.35703639	0.35691921	60115	92	0
60115	196	0.00214601	0.05902176	0.48441567	0.05897394	0.47852241	0.72522028	0.72516383	0.35753517	0.35749795	0.72529210	0.72537632	0.35758521	0.35763222	60115	194	0
60115	199	0.00004224	0.05899823	0.47822846	0.05903326	0.48453975	0.72557172	0.72547772	0.35777848	0.35775005	0.72552341	0.72537106	0.35769352	0.35782844	60115	197	0
60115	202	0.00024563	0.05865205	0.48341247	0.05914332	0.48280230	0.72536621	0.72552571	0.35765218	0.35766952	0.72530738	0.72580649	0.35773822	0.35808046	60115	200	0
60115	205	0.00114781	0.05917811	0.48300170	0.05933474	0.48029518	0.72548314	0.72567058	0.35776435	0.35789747	0.72538700	0.72542858	0.35789500	0.35768209	60115	204	0
60115	209	0.00027809	0.05946659	0.47979374	0.05917721	0.48240289	0.72535693	0.72551207	0.35782672	0.35779483	0.72544732	0.72546581	0.35792039	0.35787585	60115	207	0
60115	310	0.00019229	0.05893978	0.48305496	0.05872089	0.48331236	0.72596492	0.72589285	0.35845763	0.35833174	0.72582687	0.72591767	0.35841934	0.35834620	60115	309	0
60115	314	0.00028363	0.05886517	0.48138489	0.05877697	0.48111087	0.72598299	0.72616952	0.35828909	0.35836132	0.72593895	0.72599203	0.35839189	0.35838244	60115	312	0
60115	317	-0.00010222	0.05865501	0.48057822	0.05869329	0.48173579	0.72594298	0.72623123	0.35829748	0.35839986	0.72612079	0.72623156	0.35830725	0.35826847	60115	315	0
60115	320	0.00065854	0.05925314	0.48418319	0.05894112	0.48190089	0.72611085	0.72602589	0.35827020	0.35843914	0.72598160	0.72638843	0.35834966	0.35847357	60115	319	0
60115	323	0.00042107	0.05909613	0.48136998	0.05904274	0.48208240	0.72620831	0.72608908	0.35845960	0.35831654	0.72577428	0.72609450	0.35840085	0.35851014	60115	322	0
60115	425	0.00077305	0.05884783	0.48171243	0.05882919	0.48065648	0.72455789	0.72499422	0.35714256	0.35717731	0.72515035	0.72535783	0.35754035	0.35764446	60115	424	0
60115	429	0.00058661	0.05878953	0.48340405	0.05873431	0.48396337	0.72494081	0.72515060	0.35732719	0.35718635	0.72529859	0.72508535	0.35747634	0.35741421	60115	427	0
60115	432	0.00271690	0.05894610	0.48441686	0.05895262	0.47802601	0.72483177	0.72519645	0.35739778	0.35732982	0.72494032	0.72510318	0.35753517	0.35733952	60115	430	0
60115	435	0.00000386	0.05909256	0.47766489	0.05912890	0.48580398	0.72501419	0.72525742	0.35749663	0.35750181	0.72506506	0.72508330	0.35751644	0.35744881	60115	434	0
60115	438	0.00073988	0.05921169	0.48330288	0.05922176	0.48109484	0.72527311	0.72523597	0.35766895	0.35741150	0.72540927	0.72554781	0.35768998	0.35763320	60115	437	0
60115	540	0.00158921	0.05895163	0.48198513	0.05887742	0.47943713	0.72540837	0.72562555	0.35749803	0.35755621	0.72523934	0.72572300	0.35755695	0.35754224	60115	539	0
60115	544	0.00068905	0.05887608	0.47869718	0.05902866	0.48139766	0.72511806	0.72549366	0.35744864	0.35753706	0.72530459	0.72527320	0.35750156	0.35726211	60115	542	0
60115	547	0.00025207	0.05862324	0.48032010	0.05893276	0.48163103	0.72492577	0.72527706	0.35716326	0.35730517	0.72510113	0.72511699	0.35720353	0.35727074	60115	545	0
