Fit_max,IM_max,Ld,RW
16,19,-5.0,0.1
19,22,-4.8,0.1
18,21,-4.6,0.1
21,21,-4.3999999999999995,0.1
21,23,-4.199999999999999,0.1
21,20,-3.999999999999999,0.1
23,24,-3.799999999999999,0.1
22,24,-3.5999999999999988,0.1
24,29,-3.3999999999999986,0.1
26,33,-3.1999999999999984,0.1
28,25,-2.9999999999999982,0.1
30,34,-2.799999999999998,0.1
32,33,-2.599999999999998,0.1
32,27,-2.3999999999999977,0.1
35,33,-2.1999999999999975,0.1
36,46,-1.9999999999999973,0.1
39,32,-1.7999999999999972,0.1
45,41,-1.599999999999997,0.1
47,43,-1.3999999999999968,0.1
54,60,-1.1999999999999966,0.1
59,58,-0.9999999999999964,0.1
68,59,-0.7999999999999963,0.1
76,69,-0.5999999999999961,0.1
86,86,-0.3999999999999959,0.1
148,147,-0.19999999999999574,0.1
169,151,4.440892098500626e-15,0.1
146,163,0.20000000000000462,0.1
94,100,0.4000000000000048,0.1
77,83,0.600000000000005,0.1
69,83,0.8000000000000052,0.1
61,63,1.0000000000000053,0.1
54,53,1.2000000000000055,0.1
46,51,1.4000000000000057,0.1
44,37,1.6000000000000059,0.1
40,37,1.800000000000006,0.1
37,41,2.000000000000006,0.1
36,28,2.2000000000000064,0.1
30,35,2.4000000000000066,0.1
31,30,2.6000000000000068,0.1
29,24,2.800000000000007,0.1
27,30,3.000000000000007,0.1
26,27,3.2000000000000064,0.1
24,22,3.4000000000000075,0.1
23,25,3.6000000000000085,0.1
21,18,3.800000000000008,0.1
22,23,4.000000000000007,0.1
21,21,4.200000000000008,0.1
19,22,4.400000000000009,0.1
18,22,4.6000000000000085,0.1
19,21,4.800000000000008,0.1
17,16,5.000000000000009,0.1
17,18,-5.0,0.2
17,16,-4.8,0.2
18,21,-4.6,0.2
20,21,-4.3999999999999995,0.2
19,17,-4.199999999999999,0.2
21,23,-3.999999999999999,0.2
22,22,-3.799999999999999,0.2
23,20,-3.5999999999999988,0.2
24,26,-3.3999999999999986,0.2
26,25,-3.1999999999999984,0.2
27,25,-2.9999999999999982,0.2
28,25,-2.799999999999998,0.2
31,31,-2.599999999999998,0.2
32,38,-2.3999999999999977,0.2
33,34,-2.1999999999999975,0.2
36,45,-1.9999999999999973,0.2
39,43,-1.7999999999999972,0.2
43,35,-1.599999999999997,0.2
46,55,-1.3999999999999968,0.2
53,50,-1.1999999999999966,0.2
58,53,-0.9999999999999964,0.2
62,72,-0.7999999999999963,0.2
72,69,-0.5999999999999961,0.2
93,107,-0.3999999999999959,0.2
147,122,-0.19999999999999574,0.2
149,145,4.440892098500626e-15,0.2
149,145,0.20000000000000462,0.2
101,108,0.4000000000000048,0.2
74,97,0.600000000000005,0.2
63,52,0.8000000000000052,0.2
56,47,1.0000000000000053,0.2
50,41,1.2000000000000055,0.2
45,45,1.4000000000000057,0.2
43,35,1.6000000000000059,0.2
40,50,1.800000000000006,0.2
36,39,2.000000000000006,0.2
35,36,2.2000000000000064,0.2
31,28,2.4000000000000066,0.2
31,31,2.6000000000000068,0.2
28,28,2.800000000000007,0.2
26,26,3.000000000000007,0.2
24,23,3.2000000000000064,0.2
23,25,3.4000000000000075,0.2
23,20,3.6000000000000085,0.2
22,30,3.800000000000008,0.2
22,27,4.000000000000007,0.2
19,17,4.200000000000008,0.2
19,26,4.400000000000009,0.2
20,22,4.6000000000000085,0.2
17,21,4.800000000000008,0.2
17,18,5.000000000000009,0.2
17,19,-5.0,0.30000000000000004
19,22,-4.8,0.30000000000000004
19,18,-4.6,0.30000000000000004
19,16,-4.3999999999999995,0.30000000000000004
19,24,-4.199999999999999,0.30000000000000004
20,16,-3.999999999999999,0.30000000000000004
23,24,-3.799999999999999,0.30000000000000004
21,20,-3.5999999999999988,0.30000000000000004
24,27,-3.3999999999999986,0.30000000000000004
25,28,-3.1999999999999984,0.30000000000000004
27,22,-2.9999999999999982,0.30000000000000004
27,25,-2.799999999999998,0.30000000000000004
29,27,-2.599999999999998,0.30000000000000004
31,25,-2.3999999999999977,0.30000000000000004
33,37,-2.1999999999999975,0.30000000000000004
35,32,-1.9999999999999973,0.30000000000000004
36,46,-1.7999999999999972,0.30000000000000004
40,36,-1.599999999999997,0.30000000000000004
43,35,-1.3999999999999968,0.30000000000000004
51,50,-1.1999999999999966,0.30000000000000004
51,48,-0.9999999999999964,0.30000000000000004
61,63,-0.7999999999999963,0.30000000000000004
67,73,-0.5999999999999961,0.30000000000000004
74,94,-0.3999999999999959,0.30000000000000004
96,106,-0.19999999999999574,0.30000000000000004
128,96,4.440892098500626e-15,0.30000000000000004
94,98,0.20000000000000462,0.30000000000000004
69,89,0.4000000000000048,0.30000000000000004
68,72,0.600000000000005,0.30000000000000004
60,50,0.8000000000000052,0.30000000000000004
51,61,1.0000000000000053,0.30000000000000004
49,41,1.2000000000000055,0.30000000000000004
45,44,1.4000000000000057,0.30000000000000004
41,33,1.6000000000000059,0.30000000000000004
39,40,1.800000000000006,0.30000000000000004
35,28,2.000000000000006,0.30000000000000004
31,36,2.2000000000000064,0.30000000000000004
31,28,2.4000000000000066,0.30000000000000004
29,21,2.6000000000000068,0.30000000000000004
29,30,2.800000000000007,0.30000000000000004
26,27,3.000000000000007,0.30000000000000004
26,28,3.2000000000000064,0.30000000000000004
23,26,3.4000000000000075,0.30000000000000004
22,19,3.6000000000000085,0.30000000000000004
20,20,3.800000000000008,0.30000000000000004
20,20,4.000000000000007,0.30000000000000004
19,16,4.200000000000008,0.30000000000000004
19,21,4.400000000000009,0.30000000000000004
18,21,4.6000000000000085,0.30000000000000004
16,15,4.800000000000008,0.30000000000000004
16,20,5.000000000000009,0.30000000000000004
17,18,-5.0,0.4
17,14,-4.8,0.4
17,16,-4.6,0.4
18,20,-4.3999999999999995,0.4
19,21,-4.199999999999999,0.4
19,22,-3.999999999999999,0.4
21,25,-3.799999999999999,0.4
22,18,-3.5999999999999988,0.4
22,21,-3.3999999999999986,0.4
24,20,-3.1999999999999984,0.4
25,22,-2.9999999999999982,0.4
27,30,-2.799999999999998,0.4
29,30,-2.599999999999998,0.4
27,29,-2.3999999999999977,0.4
30,31,-2.1999999999999975,0.4
35,30,-1.9999999999999973,0.4
37,32,-1.7999999999999972,0.4
40,51,-1.599999999999997,0.4
40,39,-1.3999999999999968,0.4
44,39,-1.1999999999999966,0.4
52,51,-0.9999999999999964,0.4
53,54,-0.7999999999999963,0.4
53,59,-0.5999999999999961,0.4
65,54,-0.3999999999999959,0.4
74,78,-0.19999999999999574,0.4
145,132,4.440892098500626e-15,0.4
74,104,0.20000000000000462,0.4
66,61,0.4000000000000048,0.4
59,61,0.600000000000005,0.4
54,54,0.8000000000000052,0.4
49,50,1.0000000000000053,0.4
43,41,1.2000000000000055,0.4
42,44,1.4000000000000057,0.4
39,47,1.6000000000000059,0.4
35,39,1.800000000000006,0.4
33,35,2.000000000000006,0.4
31,30,2.2000000000000064,0.4
29,25,2.4000000000000066,0.4
29,32,2.6000000000000068,0.4
25,24,2.800000000000007,0.4
26,33,3.000000000000007,0.4
25,23,3.2000000000000064,0.4
24,26,3.4000000000000075,0.4
21,23,3.6000000000000085,0.4
