,MJD,Steered Frequencies
0,60142.583333333336,2.4214899907657653e-15
1,60142.666666666664,4.91491203818445e-15
2,60142.708333333336,3.018023539462715e-15
3,60142.75,2.7878449264505597e-15
4,60142.791666666664,3.8572642867016e-15
5,60142.833333333336,2.1659159649084553e-15
6,60142.875,6.795745565479591e-15
7,60142.916666666664,2.3792842235578963e-15
8,60142.958333333336,-2.1624159275232695e-15
9,60143.0,2.898277643695785e-15
10,60143.041666666664,1.4328102363180474e-15
11,60143.083333333336,2.7282096799421184e-15
12,60143.125,2.1444837327210872e-16
13,60143.166666666664,1.6003570733821413e-15
14,60143.208333333336,9.61678534115177e-16
15,60143.25,-3.2172263258500113e-15
16,60143.291666666664,-5.46951523942623e-15
17,60143.333333333336,2.638469177373847e-16
18,60143.375,-2.679066808681801e-15
19,60143.416666666664,5.378006847950709e-15
20,60143.458333333336,-9.229543430308057e-16
21,60143.5,3.553802847496698e-15
22,60143.541666666664,1.346870292370103e-15
23,60143.583333333336,6.41031643542842e-16
24,60143.625,1.3535892227366777e-15
25,60143.666666666664,4.263778675998055e-15
26,60143.708333333336,2.3344572756479902e-15
27,60143.75,-2.4363912560436984e-15
28,60143.791666666664,1.1647563670503279e-16
29,60143.833333333336,-8.367419021113885e-16
30,60143.875,3.070922951405134e-15
31,60143.916666666664,9.524604528107197e-17
32,60144.0,1.6603520311184753e-15
33,60144.041666666664,-1.9742069186063265e-15
34,60144.083333333336,3.1817245922378894e-15
35,60144.125,-3.0569430991248256e-15
36,60144.166666666664,-3.1718628634786026e-15
37,60144.208333333336,2.0258728751363343e-15
38,60144.25,1.393776516529342e-15
39,60144.291666666664,-1.9772607088282055e-15
40,60144.333333333336,-7.486942743056099e-16
41,60144.375,3.985915182344813e-15
42,60144.416666666664,2.5578761497660763e-15
43,60144.458333333336,5.2563911656178635e-15
44,60144.5,-3.6479052709589044e-15
45,60144.541666666664,7.105795649831353e-15
46,60144.583333333336,1.7407036574274072e-15
47,60144.625,3.758351752529191e-15
48,60144.666666666664,8.547343237085704e-16
49,60144.708333333336,6.392046700798389e-15
50,60144.75,7.61365175634152e-15
51,60144.791666666664,5.4627283623828425e-15
52,60144.833333333336,4.557882496499514e-16
53,60144.875,-2.3487473764363112e-15
54,60144.916666666664,-3.811505527096656e-16
55,60144.958333333336,-2.8636811693719206e-15
56,60145.0,-4.1076737972020784e-15
57,60145.041666666664,-1.638469873537145e-15
58,60145.083333333336,-2.6206954522013126e-15
59,60145.125,8.277674301661153e-16
60,60145.166666666664,9.804779660581686e-16
61,60145.208333333336,-4.292303189172413e-15
62,60145.25,5.260245338263783e-16
63,60145.291666666664,4.979054379328814e-15
64,60145.333333333336,2.953102093081747e-15
65,60145.375,2.4976258313880665e-15
66,60145.416666666664,4.526076693038373e-15
67,60145.458333333336,5.782607237756136e-15
68,60145.5,3.4386623841918847e-15
69,60145.541666666664,6.618912924529998e-15
70,60145.583333333336,1.3414428737809869e-15
71,60145.625,9.504618945464186e-15
72,60145.666666666664,6.338947274515327e-15
73,60145.708333333336,5.102479351788732e-15
74,60145.75,2.0381577718939252e-15
75,60145.791666666664,9.546794279310396e-16
76,60145.833333333336,1.6681611957135393e-15
77,60145.875,-2.60848011368643e-15
78,60145.916666666664,2.124264825205855e-15
79,60145.958333333336,-1.3740521723148286e-15
80,60146.0,-7.498058914001471e-16
81,60146.041666666664,3.2258293881198344e-16
82,60146.083333333336,-2.6828221422993813e-15
83,60146.125,-9.793605018110441e-17
84,60146.166666666664,2.0908974557985558e-15
85,60146.208333333336,-5.766381010981519e-15
86,60146.25,5.189815339249519e-15
87,60146.291666666664,2.4464425362865752e-15
88,60146.333333333336,-3.3109630315725736e-15
89,60146.375,1.009704051772702e-15
90,60146.416666666664,-7.290523797945891e-17
91,60146.458333333336,6.6579403418167145e-15
92,60146.5,7.074475319946811e-16
93,60146.541666666664,-4.406090015926621e-16
94,60146.583333333336,5.591556247290841e-15
95,60146.666666666664,6.734122356580969e-15
96,60146.708333333336,4.586736240124968e-15
97,60146.75,2.3645362775899505e-15
98,60146.791666666664,7.867535599031766e-15
99,60146.833333333336,-2.3864667136153275e-16
100,60146.875,2.0511912478182283e-15
101,60146.916666666664,4.482803264163542e-15
102,60146.958333333336,3.143951943969297e-15
103,60147.0,3.560329316705187e-15
