,Bin Start UTC,Bin Start MJD Days,Bin Start Seconds,Bin End MJD Days,Bin End Seconds,f0,uA (f0),uB (f0),Freq Diff (LD-HD),uA (LD-HD),HD Freq,uA (HD),LD Freq,uA (LD),Mean HD Signal (Vs),uA (HD Sig),Mean LD Signal (Vs),uA (LD Sig),No. of HD Points,No. of LD Points,HD Deadtimes,LD Deadtimes,timestamp
87,2023-07-13T15:00:00Z,60138,54000,60138,57599,1.0613537286721788e-14,3.62346126369655e-15,2.174e-16,4.599682765546103e-15,7.302321332746851e-15,5.0129713832755857e-14,6.663414716732165e-15,5.472939659830196e-14,2.9871058165935378e-15,0.05014844466666666,0.0001182864531513693,0.006902368255813953,5.5320173964715176e-06,90,516,"[(54000, 55614), (55628, 55729), (55742, 55844), (55857, 55959), (55972, 56074), (56087, 56189), (56202, 56304), (56317, 56419), (56432, 56534), (56547, 56648), (56661, 56763), (56776, 56878), (56891, 56993), (57006, 57108), (57121, 57223), (57236, 57338), (57351, 57453), (57466, 57568), (57581, 57600)]","[(54000, 55631), (55725, 55746), (55840, 55861), (55955, 55975), (56070, 56090), (56185, 56205), (56300, 56320), (56415, 56435), (56530, 56550), (56645, 56665), (56759, 56780), (56874, 56895), (56989, 57009), (57104, 57124), (57219, 57239), (57334, 57354), (57449, 57469), (57564, 57584), (57600, 57600)]",60138.625
88,2023-07-13T16:00:00Z,60138,57600,60138,61199,3.9228281314612775e-15,2.838483581896059e-15,2.16e-16,-4.422855816461178e-15,5.667433342819217e-15,5.3899605488761106e-14,5.159976812582874e-15,4.947674967229993e-14,2.3440221818289355e-15,0.04775113748387096,7.218192196124469e-05,0.006556370977683315,3.9457702287689335e-06,155,941,"[(57600, 57683), (57696, 57797), (57810, 57912), (57925, 58027), (58040, 58142), (58155, 58257), (58270, 58372), (58385, 58487), (58500, 58602), (58615, 58716), (58730, 58831), (58844, 58946), (58959, 59061), (59074, 59176), (59189, 59291), (59304, 59406), (59419, 59521), (59534, 59636), (59649, 59750), (59763, 59865), (59878, 59980), (59993, 60095), (60108, 60210), (60223, 60325), (60338, 60440), (60453, 60555), (60568, 60670), (60683, 60784), (60798, 60899), (60912, 61014), (61027, 61129), (61142, 61200)]","[(57600, 57604), (57679, 57699), (57794, 57814), (57908, 57929), (58023, 58043), (58138, 58158), (58253, 58273), (58368, 58388), (58483, 58503), (58598, 58618), (58713, 58733), (58827, 58848), (58942, 58963), (59057, 59077), (59172, 59192), (59287, 59307), (59402, 59422), (59517, 59537), (59632, 59652), (59747, 59767), (59861, 59882), (59976, 59997), (60091, 60111), (60206, 60226), (60321, 60341), (60436, 60456), (60551, 60571), (60666, 60686), (60781, 60801), (60895, 60916), (61010, 61031), (61125, 61145), (61198, 61200)]",60138.666666666664
89,2023-07-13T17:00:00Z,60138,61200,60138,64799,9.517143289130873e-15,2.653736234575183e-15,2.165e-16,4.492345285662944e-15,4.886074838578725e-15,4.915947674709649e-14,4.3579259329651405e-15,5.3651822032759434e-14,2.209572105857156e-15,0.049009835096774194,7.50916203583772e-05,0.0067319549999999995,4.3649047415562275e-06,155,942,"[(61200, 61244), (61257, 61359), (61372, 61474), (61487, 61589), (61602, 61704), (61717, 61818), (61831, 61933), (61946, 62048), (62061, 62163), (62176, 62278), (62291, 62393), (62406, 62508), (62521, 62623), (62636, 62738), (62751, 62852), (62866, 62967), (62980, 63082), (63095, 63197), (63210, 63312), (63325, 63427), (63440, 63542), (63555, 63657), (63670, 63772), (63785, 63886), (63900, 64001), (64014, 64116), (64129, 64231), (64244, 64346), (64359, 64461), (64474, 64576), (64589, 64691), (64704, 64800)]","[(61200, 61201), (61240, 61260), (61355, 61375), (61470, 61490), (61585, 61605), (61700, 61720), (61815, 61835), (61929, 61950), (62044, 62065), (62159, 62179), (62274, 62294), (62389, 62409), (62504, 62524), (62619, 62639), (62734, 62754), (62849, 62869), (62963, 62984), (63078, 63099), (63193, 63213), (63308, 63328), (63423, 63443), (63538, 63558), (63653, 63673), (63768, 63788), (63883, 63903), (63998, 64018), (64112, 64133), (64227, 64248), (64342, 64362), (64457, 64477), (64572, 64592), (64687, 64707), (64799, 64800)]",60138.708333333336
90,2023-07-13T18:00:00Z,60138,64800,60138,68399,4.358166582207957e-15,2.6616051810744147e-15,2.337e-16,-6.57358555627514e-15,5.073370596623929e-15,5.682498772601222e-14,4.5665973714237655e-15,5.025140216973708e-14,2.21026642240111e-15,0.04908531268750001,0.00011713690938759788,0.006722954898612594,6.6978746327248715e-06,160,937,"[(64800, 64806), (64819, 64921), (64934, 65036), (65049, 65151), (65164, 65266), (65279, 65380), (65393, 65495), (65508, 65610), (65623, 65725), (65738, 65840), (65853, 65955), (65968, 66070), (66083, 66185), (66198, 66299), (66313, 66414), (66427, 66529), (66542, 66644), (66657, 66759), (66772, 66874), (66887, 66989), (67002, 67104), (67117, 67219), (67232, 67334), (67347, 67448), (67461, 67563), (67576, 67678), (67691, 67793), (67806, 67908), (67921, 68023), (68036, 68138), (68151, 68253), (68266, 68368), (68381, 68400)]","[(64800, 64802), (64802, 64822), (64917, 64937), (65032, 65052), (65147, 65167), (65262, 65282), (65377, 65397), (65491, 65512), (65606, 65626), (65721, 65741), (65836, 65856), (65951, 65971), (66066, 66086), (66181, 66201), (66296, 66316), (66410, 66431), (66525, 66546), (66640, 66660), (66755, 66775), (66870, 66890), (66985, 67005), (67100, 67120), (67215, 67235), (67330, 67350), (67445, 67465), (67559, 67580), (67674, 67695), (67789, 67809), (67904, 67924), (68019, 68039), (68134, 68154), (68249, 68269), (68364, 68384), (68400, 68400)]",60138.75
91,2023-07-13T19:00:00Z,60138,68400,60138,71999,7.239958808638617e-15,2.826905811539953e-15,2.051e-16,-2.467660293728773e-15,5.086315515932916e-15,5.494854515808414e-14,4.505001475544632e-15,5.2480884864355367e-14,2.361263905826838e-15,0.048899720645161286,0.00020281135573041895,0.00668728265674814,1.1482998619453266e-05,155,941,"[(68400, 68482), (68496, 68597), (68610, 68712), (68725, 68827), (68840, 68942), (68955, 69057), (69070, 69172), (69185, 69287), (69300, 69402), (69415, 69516), (69529, 69631), (69644, 69746), (69759, 69861), (69874, 69976), (69989, 70091), (70104, 70206), (70219, 70321), (70334, 70436), (70449, 70550), (70564, 70665), (70678, 70780), (70793, 70895), (70908, 71010), (71023, 71125), (71138, 71240), (71253, 71355), (71368, 71470), (71483, 71584), (71598, 71699), (71712, 71814), (71827, 71929), (71942, 72000)]","[(68400, 68404), (68479, 68499), (68593, 68614), (68708, 68729), (68823, 68843), (68938, 68958), (69053, 69073), (69168, 69188), (69283, 69303), (69398, 69418), (69513, 69533), (69627, 69648), (69742, 69763), (69857, 69877), (69972, 69992), (70087, 70107), (70202, 70222), (70317, 70337), (70432, 70452), (70547, 70567), (70661, 70682), (70776, 70797), (70891, 70911), (71006, 71026), (71121, 71141), (71236, 71256), (71351, 71371), (71466, 71486), (71581, 71601), (71695, 71716), (71810, 71831), (71925, 71945), (71998, 72000)]",60138.791666666664
92,2023-07-13T20:00:00Z,60138,72000,60138,75599,3.3893707510225656e-16,2.8642715462992374e-15,2.113e-16,-3.668142523795461e-15,5.989369618422039e-15,4.9444312163361e-14,5.509501024851245e-15,4.5776169639565537e-14,2.3490310519957033e-15,0.05049166154838709,9.640112560819262e-05,0.006967740159235669,5.798868482541269e-06,155,942,"[(72000, 72044), (72057, 72159), (72172, 72274), (72287, 72389), (72402, 72503), (72517, 72618), (72631, 72733), (72746, 72848), (72861, 72963), (72976, 73078), (73091, 73193), (73206, 73308), (73321, 73423), (73436, 73538), (73551, 73653), (73666, 73767), (73780, 73882), (73895, 73997), (74010, 74112), (74125, 74227), (74240, 74342), (74355, 74457), (74470, 74572), (74585, 74687), (74700, 74801), (74814, 74916), (74929, 75031), (75044, 75146), (75159, 75261), (75274, 75376), (75389, 75491), (75504, 75600)]","[(72000, 72001), (72040, 72060), (72155, 72175), (72270, 72290), (72385, 72405), (72500, 72520), (72614, 72635), (72729, 72750), (72844, 72865), (72959, 72979), (73074, 73094), (73189, 73209), (73304, 73324), (73419, 73439), (73534, 73554), (73649, 73669), (73764, 73784), (73878, 73899), (73993, 74014), (74108, 74128), (74223, 74243), (74338, 74358), (74453, 74473), (74568, 74588), (74683, 74703), (74798, 74818), (74912, 74933), (75027, 75048), (75142, 75162), (75257, 75277), (75372, 75392), (75487, 75507), (75599, 75600)]",60138.833333333336
93,2023-07-13T21:00:00Z,60138,75600,60138,79199,6.4428509775263436e-15,2.619415248005727e-15,2.417e-16,7.305654787870237e-15,5.393551261649919e-15,4.2817600807695575e-14,4.945495014260307e-15,5.012325559556581e-14,2.1523183491230763e-15,0.0497567424375,3.8835424920197366e-05,0.006866494204909286,2.7192088528760185e-06,160,937,"[(75600, 75606), (75619, 75721), (75734, 75835), (75848, 75950), (75963, 76065), (76078, 76180), (76193, 76295), (76308, 76410), (76423, 76525), (76538, 76640), (76653, 76755), (76768, 76869), (76883, 76984), (76997, 77099), (77112, 77214), (77227, 77329), (77342, 77444), (77457, 77559), (77572, 77674), (77687, 77789), (77802, 77904), (77917, 78018), (78032, 78133), (78146, 78248), (78261, 78363), (78376, 78478), (78491, 78593), (78606, 78708), (78721, 78823), (78836, 78938), (78951, 79052), (79066, 79167), (79180, 79200)]","[(75600, 75602), (75602, 75622), (75717, 75737), (75832, 75852), (75946, 75967), (76061, 76082), (76176, 76197), (76291, 76311), (76406, 76426), (76521, 76541), (76636, 76656), (76751, 76771), (76866, 76886), (76980, 77001), (77095, 77116), (77210, 77231), (77325, 77345), (77440, 77460), (77555, 77575), (77670, 77690), (77785, 77805), (77900, 77920), (78015, 78035), (78129, 78150), (78244, 78265), (78359, 78379), (78474, 78494), (78589, 78609), (78704, 78724), (78819, 78839), (78934, 78954), (79049, 79069), (79163, 79184), (79200, 79200)]",60138.875
94,2023-07-13T22:00:00Z,60138,79200,60138,82799,2.303453914957554e-15,2.767671058401834e-15,2.009e-16,9.881679745887952e-16,5.4222795175627364e-15,4.600625008272601e-14,4.91756441588107e-15,4.6994418057314806e-14,2.2844420286452116e-15,0.049710911290322575,5.874725995551423e-05,0.0068913798831030815,3.5079554846883295e-06,155,941,"[(79200, 79282), (79295, 79397), (79410, 79512), (79525, 79627), (79640, 79742), (79755, 79857), (79870, 79972), (79985, 80086), (80100, 80201), (80214, 80316), (80329, 80431), (80444, 80546), (80559, 80661), (80674, 80776), (80789, 80891), (80904, 81006), (81019, 81120), (81133, 81235), (81248, 81350), (81363, 81465), (81478, 81580), (81593, 81695), (81708, 81810), (81823, 81925), (81938, 82040), (82053, 82154), (82168, 82269), (82282, 82384), (82397, 82499), (82512, 82614), (82627, 82729), (82742, 82800)]","[(79200, 79203), (79278, 79299), (79393, 79413), (79508, 79528), (79623, 79643), (79738, 79758), (79853, 79873), (79968, 79988), (80083, 80103), (80197, 80218), (80312, 80333), (80427, 80447), (80542, 80562), (80657, 80677), (80772, 80792), (80887, 80907), (81002, 81022), (81117, 81137), (81231, 81252), (81346, 81367), (81461, 81481), (81576, 81596), (81691, 81711), (81806, 81826), (81921, 81941), (82036, 82056), (82151, 82171), (82265, 82286), (82380, 82401), (82495, 82515), (82610, 82630), (82725, 82745), (82798, 82800)]",60138.916666666664
95,2023-07-13T23:00:00Z,60138,82800,60138,86399,6.3544713526617846e-15,2.6891393449686576e-15,2.045e-16,2.2865603027510607e-15,5.0378376317036306e-15,4.854961243350438e-14,4.517556320216351e-15,5.083617273625544e-14,2.2296844837515783e-15,0.047265676,5.8826910975212964e-05,0.0065569898832271755,3.2788334833813824e-06,155,942,"[(82800, 82844), (82857, 82959), (82972, 83074), (83087, 83189), (83202, 83303), (83316, 83418), (83431, 83533), (83546, 83648), (83661, 83763), (83776, 83878), (83891, 83993), (84006, 84108), (84121, 84222), (84236, 84337), (84350, 84452), (84465, 84567), (84580, 84682), (84695, 84797), (84810, 84912), (84925, 85027), (85040, 85142), (85155, 85257), (85270, 85371), (85385, 85486), (85499, 85601), (85614, 85716), (85729, 85831), (85844, 85946), (85959, 86061), (86074, 86176), (86189, 86291), (86304, 86400)]","[(82800, 82801), (82840, 82860), (82955, 82975), (83070, 83090), (83185, 83205), (83300, 83320), (83414, 83435), (83529, 83550), (83644, 83664), (83759, 83779), (83874, 83894), (83989, 84009), (84104, 84124), (84219, 84239), (84334, 84354), (84448, 84469), (84563, 84584), (84678, 84698), (84793, 84813), (84908, 84928), (85023, 85043), (85138, 85158), (85253, 85273), (85368, 85388), (85482, 85503), (85597, 85618), (85712, 85732), (85827, 85847), (85942, 85962), (86057, 86077), (86172, 86192), (86287, 86307), (86398, 86400)]",60138.958333333336
96,2023-07-14T00:00:00Z,60139,0,60139,3599,8.081623821714267e-15,2.7864838317597968e-15,2.023e-16,1.6315524557520249e-15,5.0245806079800696e-15,5.1035819963013705e-14,4.458911562148016e-15,5.266737241876573e-14,2.3161429072991383e-15,0.047635308937499996,5.895130259865843e-05,0.006639767694770544,4.046675238770562e-06,160,937,"[(0, 6), (19, 120), (134, 235), (248, 350), (363, 465), (478, 580), (593, 695), (708, 810), (823, 925), (938, 1040), (1053, 1154), (1167, 1269), (1282, 1384), (1397, 1499), (1512, 1614), (1627, 1729), (1742, 1844), (1857, 1959), (1972, 2074), (2087, 2189), (2202, 2303), (2316, 2418), (2431, 2533), (2546, 2648), (2661, 2763), (2776, 2878), (2891, 2993), (3006, 3108), (3121, 3223), (3236, 3337), (3351, 3452), (3465, 3567), (3580, 3600)]","[(0, 2), (2, 22), (117, 137), (231, 252), (346, 367), (461, 481), (576, 596), (691, 711), (806, 826), (921, 941), (1036, 1056), (1151, 1171), (1265, 1286), (1380, 1401), (1495, 1515), (1610, 1630), (1725, 1745), (1840, 1860), (1955, 1975), (2070, 2090), (2185, 2205), (2300, 2320), (2414, 2435), (2529, 2550), (2644, 2664), (2759, 2779), (2874, 2894), (2989, 3009), (3104, 3124), (3219, 3239), (3334, 3354), (3448, 3469), (3563, 3584), (3600, 3600)]",60139.0
