,Fit_max,IM_max,Ld,RW,Rescaled_LD
0,87,92,-5.0,0.1,3.018395968222748e-16
1,89,106,-4.8,0.1,2.8976601294938384e-16
2,128,92,-4.6,0.1,2.776924290764928e-16
3,93,84,-4.4,0.1,2.6561884520360187e-16
4,98,98,-4.199999999999999,0.1,2.535452613307108e-16
5,115,89,-3.999999999999999,0.1,2.414716774578198e-16
6,139,110,-3.799999999999999,0.1,2.2939809358492877e-16
7,142,90,-3.5999999999999988,0.1,2.173245097120378e-16
8,130,134,-3.3999999999999986,0.1,2.0525092583914678e-16
9,147,139,-3.1999999999999984,0.1,1.9317734196625578e-16
10,152,166,-2.9999999999999982,0.1,1.811037580933648e-16
11,158,161,-2.799999999999998,0.1,1.6903017422047378e-16
12,148,162,-2.599999999999998,0.1,1.5695659034758278e-16
13,150,149,-2.3999999999999977,0.1,1.4488300647469177e-16
14,156,147,-2.199999999999997,0.1,1.3280942260180074e-16
15,148,134,-1.9999999999999971,0.1,1.2073583872890975e-16
16,156,130,-1.7999999999999972,0.1,1.0866225485601876e-16
17,151,150,-1.599999999999997,0.1,9.658867098312776e-17
18,155,159,-1.3999999999999968,0.1,8.451508711023676e-17
19,165,165,-1.1999999999999966,0.1,7.244150323734575e-17
20,166,162,-0.9999999999999964,0.1,6.036791936445475e-17
21,166,152,-0.7999999999999963,0.1,4.8294335491563747e-17
22,164,165,-0.5999999999999961,0.1,3.6220751618672745e-17
23,159,148,-0.3999999999999959,0.1,2.4147167745781738e-17
24,155,142,-0.1999999999999957,0.1,1.2073583872890733e-17
25,164,164,4.440892098500626e-15,0.1,-2.68087416108531e-31
26,169,163,0.2000000000000046,0.1,-1.207358387289127e-17
27,161,168,0.4000000000000048,0.1,-2.4147167745782274e-17
28,168,157,0.600000000000005,0.1,-3.622075161867328e-17
29,155,132,0.8000000000000052,0.1,-4.829433549156428e-17
30,157,156,1.000000000000005,0.1,-6.036791936445527e-17
31,153,143,1.2000000000000055,0.1,-7.244150323734629e-17
32,154,137,1.4000000000000057,0.1,-8.451508711023729e-17
33,144,127,1.600000000000006,0.1,-9.658867098312831e-17
34,158,161,1.800000000000006,0.1,-1.086622548560193e-16
35,147,104,2.000000000000006,0.1,-1.207358387289103e-16
36,145,114,2.2000000000000064,0.1,-1.328094226018013e-16
37,146,149,2.4000000000000066,0.1,-1.448830064746923e-16
38,146,137,2.6000000000000068,0.1,-1.5695659034758332e-16
39,138,110,2.800000000000007,0.1,-1.6903017422047433e-16
40,96,101,3.000000000000007,0.1,-1.811037580933653e-16
41,128,89,3.2000000000000064,0.1,-1.9317734196625627e-16
42,116,100,3.4000000000000075,0.1,-2.0525092583914733e-16
43,116,115,3.6000000000000085,0.1,-2.1732450971203838e-16
44,99,99,3.800000000000008,0.1,-2.293980935849293e-16
45,101,89,4.000000000000007,0.1,-2.414716774578203e-16
46,88,107,4.200000000000008,0.1,-2.5354526133071133e-16
47,87,82,4.400000000000009,0.1,-2.656188452036024e-16
48,79,94,4.6000000000000085,0.1,-2.7769242907649335e-16
49,90,99,4.800000000000008,0.1,-2.897660129493843e-16
50,81,69,5.000000000000009,0.1,-3.0183959682227536e-16
51,88,89,-5.0,0.2,3.018395968222748e-16
52,94,85,-4.8,0.2,2.8976601294938384e-16
53,74,90,-4.6,0.2,2.776924290764928e-16
54,101,121,-4.4,0.2,2.6561884520360187e-16
